system_time,frame_number,velocity_x,velocity_y,absolute_velocity
1751364382.0963748,1,0,0,0.0
1751364382.2934773,2,0.022574933,0.018936122,0.029465307410654454
1751364382.3072155,3,-0.00622168,-0.012889071,0.01431214376056608
1751364382.3439474,4,-0.0072052786,0.0012756836,0.007317336146774666
1751364382.372429,5,0.008910692,0.010481961,0.013757614062453818
1751364382.4171808,6,-0.0067641637,-0.0015458118,0.006938547655250764
1751364382.4491878,7,-0.013017248,-0.0015651813,0.01311100850688142
1751364382.4839659,8,0.0071615158,-0.004359713,0.008384175670071277
1751364382.51689,9,0.01024288,-0.0033062575,0.010763267876264308
1751364382.5505948,10,-0.007081532,0.007984522,0.010672426065140806
1751364382.5913653,11,-0.006156615,0.0049984106,0.00793019641851574
1751364382.6094244,12,0.013139319,0.0077189966,0.01523891728569828
1751364382.6523,13,-0.009993336,-0.0046153516,0.011007644583424446
1751364382.6758232,14,0.0055590025,-0.022123998,0.02281170337817842
1751364382.7075443,15,-0.0036908148,0.0017961803,0.004104677628804371
1751364382.7397351,16,-0.004870373,0.0049310634,0.00693079474696695
1751364382.767212,17,0.015003739,-0.008239861,0.01711746096055252
1751364382.8094757,18,-0.0002600514,0.011967136,0.011969960809292081
1751364382.8611403,19,-0.020936918,0.0019251932,0.021025243750669147
1751364382.892853,20,0.016430631,0.004313211,0.016987331356916904
1751364382.9166775,21,-0.0058809374,-0.014444366,0.015595676801894588
1751364382.9499145,22,0.0002315617,0.010219978,0.010222601148534648
1751364382.983776,23,0.0050018253,-0.00039840362,0.0050176669459464605
1751364383.015009,24,-0.0012803235,0.0025284411,0.002834121111821881
1751364383.0433674,25,-0.003225653,-0.03022719,0.0303988138951651
1751364383.0885377,26,0.009280646,0.0100904405,0.013709390420861002
1751364383.1056406,27,0.002541205,0.0073277783,0.007755904587655551
1751364383.136996,28,-0.018200055,0.023345627,0.029601693888606985
1751364383.1748438,29,0.01182021,-0.026401684,0.028926912499084356
1751364383.2048278,30,-0.0010484745,0.0015510697,0.001872195430058135
1751364383.2593749,31,-0.0120687485,0.00281752,0.01239326864976085
1751364383.2835019,32,0.7473497,0.049380675,0.7489792712542956
1751364383.316825,33,3.3212523,-0.98675454,3.464736816407592
1751364383.3503842,34,4.3332925,-0.9834345,4.443486004376941
1751364383.3887808,35,1.6988224,-0.41966206,1.7498896427780397
1751364383.4241438,36,2.5405762,-0.58796316,2.6077247015159566
1751364383.4399939,37,4.979734,0.2755475,4.987351631883281
1751364383.4787095,38,4.9069653,-0.681135,4.954013877076113
1751364383.5171068,39,5.874655,-0.096201666,5.875442488219338
1751364383.54945,40,8.754949,-0.36059466,8.762371363763574
1751364383.5858285,41,11.175488,-0.0727904,11.175725270744106
1751364383.6029305,42,12.4233675,0.068037584,12.423553468558536
1751364383.6549673,43,12.287616,-1.2028849,12.346353068093883
1751364383.684677,44,11.018552,-1.6814939,11.14611629709204
1751364383.7169247,45,10.509492,-2.132637,10.723691463006105
1751364383.7506618,46,11.06137,-0.9547604,11.102498476113805
1751364383.7760851,47,10.451736,-1.5026817,10.559206477319405
1751364383.8167777,48,8.855047,-0.960057,8.906939135208052
1751364383.8528993,49,7.9749064,-1.8560702,8.188047900322076
1751364383.8762913,50,9.431447,-1.2867316,9.518816733674273
1751364383.920081,51,9.741697,-1.4313956,9.84629687104517
1751364383.9483242,52,10.604178,-1.0122317,10.652380635135076
1751364383.9814973,53,11.197777,-1.1212078,11.253768967728274
1751364384.0032744,54,12.469511,-1.4041454,12.548319694223506
1751364384.0625415,55,13.013783,-1.6121402,13.113259141327802
1751364384.0982487,56,11.77109,-1.4703994,11.862572521635208
1751364384.1159759,57,11.3328085,-1.5893924,11.443719225706163
1751364384.1502464,58,10.840984,-1.3457074,10.92418728038001
1751364384.1838114,59,10.64675,-1.5089779,10.753153493677738
1751364384.220054,60,11.292265,-1.3980026,11.378473778470632
1751364384.248448,61,10.623602,-1.2349402,10.69513880029238
1751364384.2778711,62,10.831728,-0.9615993,10.874327890958508
1751364384.3163896,63,10.892338,-0.7957464,10.921365750600904
1751364384.3483863,64,10.488444,-0.5729152,10.504079843535797
