system_time,time,pos,curr,angular_pos,position(cm),angular_vel,linear_vel
1751365569.7466054,4521.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.76047,4532.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.7685814,4542.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.7771301,4552.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.787224,4562.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.7991042,4573.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.8096576,4583.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.8200662,4593.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.8299916,4603.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.8323183,4614.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.8509693,4624.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.8535178,4634.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.8657463,4644.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.8788452,4655.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.8916588,4665.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.8987281,4674.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.9129374,4684.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.918596,4695.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.932212,4705.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.932212,4715.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.9503458,4725.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.960613,4736.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.9657319,4746.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.9807377,4756.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.9939806,4766.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.9998903,4776.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.0131822,4787.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.0131822,4797.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.0315428,4807.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.043784,4817.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.0507507,4828.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.0634828,4838.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.076989,4848.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.07835,4858.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.0961778,4869.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1043835,4879.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1115768,4889.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1252375,4898.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1321578,4909.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1454139,4919.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1556826,4929.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1656828,4939.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1773083,4950.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1865509,4960.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.1975906,4970.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.1988869,4980.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.2187016,4990.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.2272184,5001.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.2317314,5011.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.247682,5021.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.2595255,5031.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.2658195,5042.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.2804966,5052.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.284902,5062.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.2990808,5072.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.3095827,5083.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.3164306,5093.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365570.3296182,5103.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.3317869,5113.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.3470564,5123.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365570.3584523,5133.0,-1.0,0.39,0.01282051282051282,0.0013425609630725612,0.02237601605120935,0.1342560963072561
1751365570.3651233,5143.0,-4.0,0.39,0.05128205128205128,0.005370243852290245,0.06712804815362805,0.4027682889217683
1751365570.3772306,5153.0,-10.0,0.39,0.1282051282051282,0.01342560963072561,0.1342560963072561,0.8055365778435366
1751365570.3798475,5164.0,-19.0,491.99,0.24358974358974358,0.02550865829837866,0.1830764949644402,1.0984589697866411
1751365570.3992105,5175.0,-32.0,491.99,0.41025641025641024,0.04296195081832196,0.2644438260597469,1.5866629563584815
1751365570.4112225,5185.0,-49.0,491.99,0.6282051282051282,0.06578548719055549,0.380392272870559,2.2823536372233537
1751365570.4132352,5195.0,-68.0,491.99,0.8717948717948718,0.09129414548893416,0.4251443049729777,2.5508658298378664
1751365570.4320972,5206.0,-90.0,491.99,1.1538461538461537,0.12083048667653049,0.44752032102418693,2.6851219261451216
1751365570.443107,5216.0,-116.0,491.99,1.4871794871794872,0.1557370717164171,0.5817764173314435,3.490658503988661
1751365570.4522882,5226.0,-144.0,491.99,1.8461538461538463,0.1933287786824488,0.626528449433862,3.7591706966031717
1751365570.4651396,5236.0,-174.0,686.82,2.230769230769231,0.23360560757462565,0.6712804815362805,4.027682889217683
1751365570.4709916,5246.0,-208.0,686.82,2.6666666666666665,0.2792526803190927,0.7607845457411175,4.564707274446706
1751365570.4819794,5258.0,-243.0,686.82,3.1153846153846154,0.32624231402663234,0.6526338014936064,3.9158028089616383
1751365570.4928055,5268.0,-280.0,686.82,3.58974358974359,0.3759170696603172,0.8279125938947461,4.967475563368477
1751365570.5053964,5278.0,-319.0,686.82,4.089743589743589,0.428276947220147,0.8726646259971641,5.235987755982984
1751365570.5102851,5288.0,-360.0,686.82,4.615384615384615,0.48332194670612194,0.9174166580995834,5.5044999485975
1751365570.5260856,5299.0,-403.0,649.71,5.166666666666667,0.5410520681182421,0.8746988092745486,5.248192855647291
1751365570.5310874,5310.0,-448.0,649.71,5.743589743589744,0.6014673114565073,0.9153824748222005,5.492294848933203
1751365570.544384,5320.0,-494.0,649.71,6.333333333333333,0.6632251157578452,1.0292967383556295,6.175780430133777
1751365570.5596619,5330.0,-542.0,649.71,6.948717948717949,0.7276680419853281,1.0740487704580497,6.444292622748298
1751365570.5673513,5341.0,-591.0,649.71,7.576923076923077,0.7934535291758836,0.996749805917507,5.980498835505042
1751365570.5798035,5351.0,-642.0,649.71,8.23076923076923,0.8619241382925842,1.141176818611676,6.847060911670056
1751365570.5883212,5362.0,-695.0,596.19,8.91025641025641,0.9330798693354301,1.0781171370128162,6.468702822076898
1751365570.5996335,5372.0,-748.0,596.19,9.58974358974359,1.0042356003782758,1.1859288507140946,7.115573104284568
1751365570.608448,5383.0,-803.0,596.19,10.294871794871796,1.0780764533472666,1.1188008025604694,6.712804815362817
1751365570.620959,5393.0,-858.0,596.19,11.0,1.1519173063162575,1.230680882816513,7.384085296899078
1751365570.629262,5403.0,-915.0,596.19,11.73076923076923,1.2284432812113937,1.2754329149189316,7.65259748951359
1751365570.6417835,5414.0,-972.0,596.19,12.461538461538462,1.3049692561065294,1.1594844681081227,6.956906808648736
1751365570.6529045,5425.0,-1030.0,577.83,13.205128205128204,1.3828377919647379,1.1798263008819465,7.0789578052916795
1751365570.66112,5435.0,-1088.0,577.83,13.948717948717949,1.4607063278229466,1.2978089309701442,7.7868535858208645
1751365570.6652508,5445.0,-1147.0,577.83,14.705128205128204,1.5399174246442275,1.3201849470213503,7.921109682128101
1751365570.6821647,5456.0,-1207.0,577.83,15.474358974358974,1.6204710824285813,1.2205099664296024,7.3230597985776145
1751365570.6940644,5467.0,-1266.0,577.83,16.23076923076923,1.6996821792498624,1.200168133655773,7.201008801934638
1751365570.7018049,5477.0,-1327.0,577.83,17.012820512820515,1.781578397997289,1.364936979123775,8.18962187474265
1751365570.7118506,5487.0,-1387.0,543.26,17.78205128205128,1.8621320557816423,1.3425609630725563,8.055365778435338
1751365570.726422,5498.0,-1448.0,543.26,18.564102564102566,1.9440282745290685,1.240851799203432,7.445110795220592
1751365570.7335098,5509.0,-1510.0,543.26,19.358974358974358,2.027267054239567,1.26119363197725,7.567161791863501
1751365570.7454042,5519.0,-1572.0,543.26,20.153846153846153,2.110505833950066,1.3873129951749812,8.323877971049887
1751365570.7540715,5529.0,-1635.0,543.26,20.96153846153846,2.1950871746236373,1.4096890112261873,8.458134067357124
1751365570.765406,5540.0,-1698.0,543.26,21.76923076923077,2.279668515297209,1.281535464751085,7.68921278850651
1751365570.7773743,5551.0,-1761.0,541.6,22.576923076923077,2.36424985597078,1.2815354647510795,7.689212788506477
1751365570.789071,5561.0,-1825.0,541.6,23.397435897435898,2.4501737576074243,1.4320650272773996,8.592390163664398
1751365570.7990835,5572.0,-1890.0,541.6,24.23076923076923,2.5374402202071407,1.3222191302987327,7.933314781792396
1751365570.8100317,5582.0,-1955.0,541.6,25.064102564102566,2.624706682806857,1.4544410433286121,8.726646259971673
1751365570.81148,5593.0,-2020.0,541.6,25.897435897435898,2.711973145406574,1.3222191302987327,7.933314781792396
1751365570.8293366,5603.0,-2086.0,541.6,26.743589743589745,2.8005821689693624,1.4768170593798182,8.86090235627891
1751365570.8410666,5614.0,-2151.0,516.6,27.576923076923077,2.887848631569079,1.3222191302987327,7.933314781792396
1751365570.8448937,5624.0,-2218.0,516.6,28.435897435897434,2.977800216094941,1.4991930754310245,8.995158452586146
1751365570.8623526,5635.0,-2284.0,516.6,29.28205128205128,3.06640923965773,1.3425609630725621,8.055365778435373
