system_time,frame_number
1750422493.3714788,1
1750422493.5466602,2
1750422493.5658684,3
1750422493.599267,4
1750422493.650941,5
1750422493.6789906,6
1750422493.7169533,7
1750422493.7429311,8
1750422493.7805526,9
1750422493.8102274,10
1750422493.8347106,11
1750422493.8727841,12
1750422493.9008114,13
1750422493.9333618,14
1750422493.9637127,15
1750422493.994775,16
1750422494.0446765,17
1750422494.0814648,18
1750422494.110984,19
1750422494.1423542,20
1750422494.1730917,21
1750422494.204562,22
1750422494.2343936,23
1750422494.2765863,24
1750422494.3087256,25
1750422494.3407345,26
1750422494.36269,27
1750422494.3969507,28
1750422494.4450614,29
1750422494.4789193,30
1750422494.5111876,31
1750422494.5417747,32
1750422494.5814207,33
1750422494.605433,34
1750422494.645813,35
1750422494.6774852,36
1750422494.7025187,37
1750422494.7412305,38
1750422494.7738297,39
1750422494.804998,40
1750422494.8375835,41
1750422494.8861544,42
1750422494.9129863,43
1750422494.941295,44
1750422494.9759772,45
1750422495.0085475,46
1750422495.0387943,47
1750422495.0755816,48
1750422495.1083307,49
1750422495.140025,50
1750422495.1650076,51
1750422495.2043967,52
1750422495.2282906,53
1750422495.2858438,54
1750422495.3111618,55
1750422495.3419433,56
1750422495.3730793,57
1750422495.4080796,58
1750422495.4398205,59
1750422495.472502,60
1750422495.5016313,61
1750422495.540878,62
1750422495.5736434,63
1750422495.6025105,64
1750422495.6314769,65
1750422495.6798484,66
1750422495.7096994,67
1750422495.7422047,68
1750422495.78154,69
1750422495.8113234,70
1750422495.839667,71
1750422495.8725483,72
1750422495.9091394,73
1750422495.940487,74
1750422495.9647462,75
1750422495.9956627,76
1750422496.0344973,77
1750422496.0820348,78
1750422496.119046,79
1750422496.1423912,80
1750422496.1755478,81
1750422496.2103558,82
1750422496.2459838,83
1750422496.2755523,84
1750422496.30848,85
1750422496.3401468,86
1750422496.3744287,87
1750422496.4027236,88
1750422496.4331584,89
1750422496.461396,90
