system_time,time,vt,vFilt,pos,curr
1757421929.7230926,8198.0,10.0,0.0,0.0,0.29
1757421929.735569,8210.0,10.0,0.0,0.0,0.29
1757421929.7543194,8223.0,10.0,0.0,0.0,0.29
1757421929.7676046,8236.0,10.0,0.0,0.0,0.29
1757421929.7676046,8249.0,10.0,0.0,0.0,0.29
1757421929.7918248,8261.0,10.0,0.0,0.0,0.29
1757421929.803485,8274.0,10.0,0.0,0.0,0.29
1757421929.8162632,8287.0,10.0,0.0,0.0,0.29
1757421929.828959,8300.0,10.0,0.0,0.0,0.29
1757421929.83473,8312.0,10.0,0.0,0.0,0.29
1757421929.8571942,8326.0,10.0,0.0,0.0,0.29
1757421929.8691962,8338.0,10.0,0.0,0.0,0.29
1757421929.881745,8351.0,10.0,0.0,0.0,0.29
1757421929.8837845,8364.0,10.0,0.0,0.0,0.29
1757421929.9052148,8377.0,10.0,0.0,0.0,0.29
1757421929.9214883,8389.0,10.0,0.0,0.0,0.29
1757421929.9293063,8402.0,10.0,0.0,0.0,0.29
1757421929.9367268,8416.0,10.0,0.0,0.0,0.29
1757421929.9526017,8428.0,10.0,0.0,0.0,0.29
1757421929.9685185,8441.0,10.0,0.0,0.0,0.29
1757421929.9843466,8454.0,10.0,0.0,0.0,0.29
1757421929.9843466,8467.0,10.0,0.0,0.0,0.29
1757421930.0022357,8479.0,10.0,0.0,0.0,0.29
1757421930.023711,8493.0,10.0,0.0,0.0,0.29
1757421930.0320249,8505.0,10.0,0.0,0.0,0.29
1757421930.0478013,8518.0,10.0,0.0,0.0,0.29
1757421930.0637238,8530.0,10.0,0.0,0.0,0.29
1757421930.0637238,8544.0,10.0,0.0,0.0,0.29
1757421930.0858107,8556.0,10.0,0.0,0.0,0.29
1757421930.0984976,8569.0,10.0,0.0,0.0,0.29
1757421930.10883,8582.0,10.0,0.0,0.0,0.29
1757421930.1274555,8595.0,10.0,0.0,0.0,0.29
1757421930.130143,8608.0,10.0,0.0,0.0,0.29
1757421930.1446307,8621.0,10.0,0.0,0.0,0.29
1757421930.1605592,8634.0,10.0,0.0,0.0,0.29
1757421930.177089,8646.0,10.0,0.0,0.0,0.29
1757421930.185829,8659.0,10.0,0.0,0.0,0.29
1757421930.2022002,8672.0,10.0,0.0,0.0,0.29
1757421930.2122555,8685.0,10.0,0.0,0.0,0.29
1757421930.2302701,8697.0,10.0,0.0,0.0,0.29
1757421930.2426763,8711.0,10.0,0.0,0.0,0.29
1757421930.2556658,8723.0,10.0,0.0,0.0,0.29
1757421930.266354,8736.0,10.0,0.0,0.0,0.29
1757421930.266354,8749.0,10.0,0.0,0.0,0.29
1757421930.2825527,8762.0,10.0,0.0,0.0,0.29
