system_time,time,pos,curr
1750424062.7138996,3850.0,0.0,0.39
1750424062.7514195,3888.0,0.0,0.39
1750424062.7872825,3924.0,0.0,0.39
1750424062.821613,3962.0,0.0,0.39
1750424062.8546717,3999.0,0.0,0.39
1750424062.9018552,4037.0,0.0,0.39
1750424062.9384856,4074.0,0.0,0.39
1750424062.9758027,4112.0,0.0,0.39
1750424063.0092824,4149.0,0.0,0.39
1750424063.0502589,4187.0,0.0,0.39
1750424063.0872765,4225.0,0.0,0.39
1750424063.1164002,4261.0,0.0,0.39
1750424063.1634586,4299.0,0.0,0.39
1750424063.2006953,4336.0,0.0,0.39
1750424063.2386334,4374.0,0.0,0.39
1750424063.275074,4411.0,0.0,0.39
1750424063.309826,4449.0,0.0,0.39
1750424063.348953,4487.0,0.0,0.39
1750424063.3861024,4524.0,0.0,0.39
1750424063.4266834,4561.0,0.0,0.39
1750424063.4628131,4598.0,0.0,0.39
1750424063.500187,4636.0,0.0,0.39
1750424063.5370312,4673.0,0.0,0.39
1750424063.574831,4711.0,0.0,0.39
1750424063.609572,4748.0,0.0,0.39
1750424063.6475463,4786.0,0.0,0.39
1750424063.6886218,4824.0,0.0,82.52
1750424063.7257147,4861.0,27.0,943.36
1750424063.7660584,4902.0,127.0,943.36
1750424063.8078547,4943.0,301.0,986.13
1750424063.8482463,4985.0,544.0,986.13
1750424063.8833437,5027.0,845.0,868.55
1750424063.9342499,5068.0,1185.0,712.4
1750424063.975966,5111.0,1562.0,712.4
1750424064.0171428,5154.0,1960.0,612.5
1750424064.061049,5196.0,2373.0,559.38
1750424064.1035774,5239.0,2795.0,559.38
1750424064.1473093,5281.0,3222.0,522.46
1750424064.1885242,5324.0,3651.0,513.48
1750424064.2184942,5367.0,4083.0,513.48
1750424064.2729588,5409.0,4514.0,505.76
1750424064.315249,5452.0,4947.0,510.84
1750424064.3605542,5495.0,5380.0,510.84
1750424064.4023137,5537.0,5815.0,495.02
1750424064.4391978,5580.0,6251.0,493.26
1750424064.4874425,5623.0,6688.0,493.26
1750424064.527504,5665.0,7126.0,493.85
1750424064.5737123,5708.0,7563.0,500.98
1750424064.613981,5751.0,8001.0,500.98
1750424064.6599634,5793.0,8439.0,496.48
1750424064.699967,5836.0,8877.0,488.57
1750424064.7337015,5878.0,9317.0,488.57
1750424064.7864573,5921.0,9758.0,492.48
1750424064.8199754,5964.0,10200.0,480.27
1750424064.8728528,6007.0,10654.0,480.27
1750424064.9178689,6051.0,11110.0,479.0
1750424064.9591682,6095.0,11565.0,474.12
1750424065.0035253,6138.0,12021.0,474.12
1750424065.0403075,6182.0,12475.0,484.77
1750424065.0890095,6226.0,12927.0,486.52
1750424065.134917,6269.0,13378.0,495.41
1750424065.1707067,6313.0,13828.0,495.41
1750424065.221165,6358.0,14277.0,494.43
1750424065.2651725,6401.0,14727.0,492.19
1750424065.3069756,6445.0,15179.0,492.19
1750424065.3521557,6489.0,15634.0,477.25
1750424065.396389,6532.0,16091.0,470.02
1750424065.4380703,6576.0,16551.0,470.02
1750424065.4828205,6620.0,17011.0,475.2
1750424065.5283773,6663.0,17471.0,473.44
1750424065.5689723,6707.0,17928.0,473.44
1750424065.6141238,6751.0,18381.0,489.16
1750424065.6585758,6794.0,18826.0,500.59
1750424065.6999493,6838.0,19262.0,500.59
