system_time,time,vt,vFilt,pos,curr
1757418769.4354863,8261.0,10.0,0.0,0.0,0.29
1757418769.4354863,8274.0,10.0,0.0,0.0,0.29
1757418769.4597614,8287.0,10.0,0.0,0.0,0.29
1757418769.4682417,8300.0,10.0,0.0,0.0,0.29
1757418769.4837496,8312.0,10.0,0.0,0.0,0.29
1757418769.4837496,8326.0,10.0,0.0,0.0,0.29
1757418769.509457,8338.0,10.0,0.0,0.0,0.29
1757418769.5214667,8351.0,10.0,0.0,0.0,0.29
1757418769.5368452,8364.0,10.0,0.0,0.0,0.29
1757418769.5492089,8377.0,10.0,0.0,0.0,0.29
1757418769.5492089,8389.0,10.0,0.0,0.0,0.29
1757418769.5732987,8402.0,10.0,0.0,0.0,0.29
1757418769.5842857,8416.0,10.0,0.0,0.0,0.29
1757418769.5963097,8428.0,10.0,0.0,0.0,0.29
1757418769.5963097,8441.0,10.0,0.0,0.0,0.29
1757418769.6236534,8454.0,10.0,0.0,0.0,0.29
1757418769.6373744,8467.0,10.0,0.0,0.0,0.29
1757418769.6373744,8479.0,10.0,0.0,0.0,0.29
1757418769.6531827,8493.0,10.0,0.0,0.0,0.29
1757418769.6746922,8505.0,10.0,0.0,0.0,0.29
1757418769.685243,8518.0,10.0,0.0,0.0,0.29
1757418769.7010937,8530.0,10.0,0.0,0.0,0.29
1757418769.7010937,8544.0,10.0,0.0,0.0,0.29
1757418769.7171733,8556.0,10.0,0.0,0.0,0.29
1757418769.7378743,8569.0,10.0,0.0,0.0,0.29
1757418769.7487354,8582.0,10.0,0.0,0.0,0.29
1757418769.766431,8595.0,10.0,0.0,0.0,0.29
1757418769.7789621,8608.0,10.0,0.0,0.0,0.29
1757418769.791535,8621.0,10.0,0.0,0.0,0.29
1757418769.803631,8634.0,10.0,0.0,0.0,0.29
1757418769.8129745,8646.0,10.0,0.0,0.0,0.29
1757418769.8317883,8659.0,10.0,0.0,0.0,0.29
1757418769.8435938,8672.0,10.0,0.0,0.0,0.29
1757418769.8571596,8685.0,10.0,0.0,0.0,0.29
1757418769.8703797,8697.0,10.0,0.0,0.0,0.29
1757418769.881778,8711.0,10.0,0.0,0.0,0.29
1757418769.8856223,8723.0,10.0,0.0,0.0,0.29
1757418769.9013457,8736.0,10.0,0.0,0.0,0.29
