system_time,time,vt,vFilt,pos,curr
1757419434.5923793,9330.0,10.0,9.54,1987.0,459.96
1757419434.594976,9344.0,10.0,9.61,2083.0,459.96
1757419434.620921,9357.0,10.0,9.67,2181.0,459.96
1757419434.624694,9370.0,10.0,9.73,2279.0,459.96
1757419434.645251,9383.0,10.0,9.79,2377.0,429.39
1757419434.6544983,9397.0,10.0,9.83,2475.0,429.39
1757419434.6739936,9410.0,10.0,9.85,2573.0,429.39
1757419434.6845245,9423.0,10.0,9.86,2670.0,429.39
1757419434.6961083,9437.0,10.0,9.84,2768.0,429.39
1757419434.7135074,9450.0,10.0,9.84,2866.0,422.56
1757419434.724527,9463.0,10.0,9.84,2965.0,422.56
1757419434.7413888,9477.0,10.0,9.86,3063.0,422.56
1757419434.750714,9490.0,10.0,9.86,3161.0,422.56
1757419434.765447,9503.0,10.0,9.87,3260.0,422.56
1757419434.7813582,9517.0,10.0,9.86,3357.0,416.21
1757419434.7940755,9531.0,10.0,9.85,3455.0,416.21
1757419434.8054738,9544.0,10.0,9.82,3551.0,416.21
1757419434.821696,9558.0,10.0,9.78,3648.0,416.21
1757419434.8342218,9571.0,10.0,9.74,3745.0,416.21
1757419434.8422241,9584.0,10.0,9.72,3841.0,428.91
1757419434.8592072,9597.0,10.0,9.7,3937.0,428.91
1757419434.863265,9611.0,10.0,9.67,4032.0,428.91
1757419434.8870966,9624.0,10.0,9.64,4128.0,428.91
1757419434.896579,9637.0,10.0,9.62,4223.0,428.91
1757419434.9153368,9651.0,10.0,9.6,4318.0,433.5
1757419434.9280803,9664.0,10.0,9.58,4413.0,433.5
1757419434.9307342,9677.0,10.0,9.56,4508.0,433.5
1757419434.9540339,9691.0,10.0,9.54,4601.0,433.5
1757419434.9649088,9704.0,10.0,9.5,4695.0,443.36
1757419434.9796646,9717.0,10.0,9.47,4789.0,443.36
1757419434.9927213,9731.0,10.0,9.44,4881.0,443.36
1757419434.9927213,9744.0,10.0,9.4,4975.0,443.36
1757419435.0224118,9757.0,10.0,9.37,5067.0,443.36
1757419435.0347447,9771.0,10.0,9.36,5161.0,449.61
1757419435.0476027,9784.0,10.0,9.36,5254.0,449.61
1757419435.0593646,9797.0,10.0,9.37,5348.0,449.61
1757419435.076024,9810.0,10.0,9.39,5442.0,449.61
1757419435.0872371,9824.0,10.0,9.41,5536.0,449.61
1757419435.0931437,9837.0,10.0,9.43,5630.0,446.88
1757419435.113275,9850.0,10.0,9.44,5725.0,446.88
1757419435.1220894,9865.0,10.0,9.46,5819.0,446.88
1757419435.1402001,9878.0,10.0,9.48,5914.0,446.88
1757419435.1532876,9891.0,10.0,9.49,6008.0,446.88
1757419435.1577737,9905.0,10.0,9.5,6103.0,447.75
1757419435.1735466,9918.0,10.0,9.51,6198.0,447.75
1757419435.1941404,9931.0,10.0,9.52,6292.0,447.75
1757419435.2040029,9945.0,10.0,9.52,6387.0,447.75
1757419435.2220871,9958.0,10.0,9.52,6481.0,447.75
1757419435.2336743,9971.0,10.0,9.51,6576.0,446.97
1757419435.2482944,9985.0,10.0,9.52,6671.0,446.97
1757419435.2602642,9998.0,10.0,9.54,6766.0,446.97
1757419435.2634623,10011.0,10.0,9.56,6862.0,446.97
1757419435.285462,10024.0,10.0,9.58,6957.0,445.31
1757419435.3009722,10038.0,10.0,9.58,7053.0,445.31
1757419435.3147602,10051.0,10.0,9.59,7149.0,445.31
1757419435.3295324,10064.0,10.0,9.59,7244.0,445.31
1757419435.3339512,10078.0,10.0,9.58,7340.0,445.31
1757419435.3526502,10091.0,10.0,9.57,7436.0,446.19
1757419435.3526502,10105.0,10.0,9.58,7531.0,446.19
1757419435.3827336,10119.0,10.0,9.57,7627.0,446.19
1757419435.39579,10132.0,10.0,9.58,7723.0,446.19
1757419435.398324,10145.0,10.0,9.59,7818.0,446.19
1757419435.420782,10159.0,10.0,9.59,7915.0,445.8
1757419435.4274483,10172.0,10.0,9.61,8011.0,445.8
1757419435.4483833,10185.0,10.0,9.63,8107.0,445.8
1757419435.4587955,10199.0,10.0,9.64,8203.0,445.8
1757419435.4766665,10212.0,10.0,9.65,8300.0,445.8
1757419435.4897604,10225.0,10.0,9.66,8397.0,441.7
1757419435.4913423,10238.0,10.0,9.67,8493.0,441.7
1757419435.513487,10253.0,10.0,9.67,8590.0,441.7
1757419435.521738,10266.0,10.0,9.68,8687.0,441.7
1757419435.542081,10279.0,10.0,9.68,8783.0,441.7
1757419435.555209,10293.0,10.0,9.67,8879.0,445.31
1757419435.5712426,10306.0,10.0,9.65,8975.0,445.31
1757419435.583406,10319.0,10.0,9.64,9072.0,445.31
1757419435.5956452,10333.0,10.0,9.65,9169.0,445.31
1757419435.5993729,10346.0,10.0,9.67,9265.0,440.43
1757419435.624458,10359.0,10.0,9.67,9361.0,440.43
1757419435.6345038,10373.0,10.0,9.65,9457.0,440.43
1757419435.6502466,10386.0,10.0,9.63,9553.0,440.43
1757419435.661668,10400.0,10.0,9.62,9649.0,440.43
1757419435.6644878,10414.0,10.0,9.61,9745.0,448.44
1757419435.6901724,10427.0,10.0,9.6,9841.0,448.44
1757419435.6960096,10440.0,10.0,9.6,9936.0,448.44
1757419435.7179418,10454.0,10.0,9.59,10032.0,448.44
1757419435.7296839,10467.0,10.0,9.59,10128.0,448.44
1757419435.7296839,10480.0,10.0,9.58,10224.0,443.26
1757419435.756201,10493.0,10.0,9.58,10320.0,443.26
1757419435.7604868,10508.0,10.0,9.57,10416.0,443.26
1757419435.7844405,10521.0,10.0,9.56,10512.0,443.26
1757419435.7968068,10534.0,10.0,9.55,10607.0,443.26
1757419435.813121,10548.0,10.0,9.54,10703.0,450.68
1757419435.8253167,10561.0,10.0,9.53,10798.0,450.68
1757419435.8339891,10574.0,10.0,9.52,10894.0,450.68
1757419435.848521,10588.0,10.0,9.52,10989.0,450.68
1757419435.8642466,10602.0,10.0,9.51,11084.0,448.44
1757419435.8786414,10615.0,10.0,9.5,11180.0,448.44
1757419435.8907716,10629.0,10.0,9.5,11275.0,448.44
1757419435.9076107,10642.0,10.0,9.51,11371.0,448.44
1757419435.9196963,10655.0,10.0,9.53,11467.0,448.44
1757419435.921591,10669.0,10.0,9.55,11563.0,459.86
1757419435.9441676,10683.0,10.0,9.56,11659.0,459.86
1757419435.9538925,10696.0,10.0,9.56,11755.0,459.86
1757419435.9696257,10710.0,10.0,9.57,11851.0,459.86
1757419435.9854844,10723.0,10.0,9.56,11946.0,459.86
1757419436.0012693,10736.0,10.0,9.55,12041.0,444.63
1757419436.0029583,10749.0,10.0,9.53,12137.0,444.63
1757419436.0253704,10763.0,10.0,9.51,12232.0,444.63
1757419436.0329792,10777.0,10.0,9.51,12328.0,444.63
1757419436.0544236,10790.0,10.0,9.52,12425.0,444.63
1757419436.0652952,10804.0,10.0,9.56,12521.0,457.52
1757419436.0652952,10817.0,10.0,9.58,12617.0,457.52
1757419436.095304,10830.0,10.0,9.59,12713.0,457.52
1757419436.1080484,10844.0,10.0,9.59,12809.0,457.52
1757419436.12052,10858.0,10.0,9.58,12905.0,444.24
1757419436.1216512,10871.0,10.0,9.58,13002.0,444.24
1757419436.1482396,10885.0,10.0,9.59,13098.0,444.24
1757419436.160325,10898.0,10.0,9.6,13195.0,444.24
1757419436.1650946,10911.0,10.0,9.61,13291.0,444.24
1757419436.1898527,10925.0,10.0,9.61,13387.0,454.79
1757419436.1947105,10938.0,10.0,9.61,13484.0,454.79
1757419436.2154067,10952.0,10.0,9.61,13581.0,454.79
1757419436.225091,10966.0,10.0,9.63,13678.0,454.79
1757419436.2436929,10979.0,10.0,9.65,13775.0,454.79
1757419436.2550614,10992.0,10.0,9.65,13871.0,441.6
1757419436.2581656,11005.0,10.0,9.64,13967.0,441.6
1757419436.28386,11019.0,10.0,9.62,14063.0,441.6
1757419436.2947063,11033.0,10.0,9.59,14159.0,441.6
1757419436.3089328,11046.0,10.0,9.57,14254.0,441.6
1757419436.3249078,11060.0,10.0,9.55,14350.0,455.66
1757419436.337852,11073.0,10.0,9.54,14446.0,455.66
1757419436.3495739,11086.0,10.0,9.55,14542.0,455.66
1757419436.3543077,11100.0,10.0,9.56,14638.0,455.66
1757419436.3780484,11113.0,10.0,9.58,14735.0,455.66
1757419436.3882196,11127.0,10.0,9.59,14831.0,449.9
1757419436.40232,11141.0,10.0,9.6,14927.0,449.9
1757419436.4188867,11154.0,10.0,9.59,15023.0,449.9
