system_time,time,vt,vFilt,pos,curr
1757418026.0600607,8120.0,10.0,0.0,0.0,0.29
1757418026.0600607,8133.0,10.0,0.0,0.0,0.29
1757418026.0765142,8145.0,10.0,0.0,0.0,0.39
1757418026.0838723,8159.0,10.0,0.0,0.0,0.39
1757418026.1051304,8171.0,10.0,0.0,0.0,0.39
1757418026.1179507,8184.0,10.0,0.0,0.0,0.39
1757418026.1302505,8198.0,10.0,0.0,0.0,0.39
1757418026.1340451,8210.0,10.0,0.0,0.0,0.39
1757418026.1500685,8223.0,10.0,0.0,0.0,0.39
1757418026.1661549,8236.0,10.0,0.0,0.0,0.39
1757418026.1673644,8249.0,10.0,0.0,0.0,0.39
1757418026.1821957,8261.0,10.0,0.0,0.0,0.39
1757418026.1982572,8274.0,10.0,0.0,0.0,0.29
1757418026.2200341,8287.0,10.0,0.0,0.0,0.29
1757418026.232092,8300.0,10.0,0.0,0.0,0.29
1757418026.234103,8312.0,10.0,0.0,0.0,0.29
1757418026.247687,8326.0,10.0,0.0,0.0,0.29
1757418026.2637298,8338.0,10.0,0.0,0.0,0.29
1757418026.2794352,8351.0,10.0,0.0,0.0,0.29
1757418026.295156,8364.0,10.0,0.0,0.0,0.29
1757418026.295156,8377.0,10.0,0.0,0.0,0.29
1757418026.3112912,8389.0,10.0,0.0,0.0,0.29
1757418026.3320673,8402.0,10.0,0.0,0.0,0.39
1757418026.3428972,8416.0,10.0,0.0,0.0,0.39
1757418026.3598611,8428.0,10.0,0.0,0.0,0.39
1757418026.3598611,8441.0,10.0,0.0,0.0,0.39
1757418026.3878305,8454.0,10.0,0.0,0.0,0.39
1757418026.3991756,8467.0,10.0,0.0,0.0,0.29
1757418026.3991756,8479.0,10.0,0.0,0.0,0.29
1757418026.4198775,8493.0,10.0,0.0,0.0,0.29
1757418026.4369657,8505.0,10.0,0.0,0.0,0.29
1757418026.4381788,8518.0,10.0,0.0,0.0,0.29
1757418026.4626102,8530.0,10.0,0.0,0.0,0.29
1757418026.4746387,8544.0,10.0,0.0,0.0,0.29
1757418026.476606,8556.0,10.0,0.0,0.0,0.29
1757418026.4923563,8569.0,10.0,0.0,0.0,0.29
1757418026.5106452,8582.0,10.0,0.0,0.0,0.29
1757418026.526337,8595.0,10.0,0.0,0.0,0.29
1757418026.539651,8608.0,10.0,0.0,0.0,0.29
1757418026.5515468,8621.0,10.0,0.0,0.0,0.29
1757418026.5635424,8634.0,10.0,0.0,0.0,0.29
1757418026.580341,8646.0,10.0,0.0,0.0,0.29
1757418026.592588,8659.0,10.0,0.0,0.0,0.29
1757418026.6040907,8672.0,10.0,0.0,0.0,0.29
1757418026.61651,8685.0,10.0,0.0,0.0,0.29
1757418026.61651,8697.0,10.0,0.0,0.0,0.29
1757418026.6388679,8711.0,10.0,0.0,0.0,0.29
1757418026.6549795,8723.0,10.0,0.0,0.0,0.29
1757418026.667488,8736.0,10.0,0.0,0.0,0.29
1757418026.682156,8749.0,10.0,0.0,0.0,0.29
1757418026.6842213,8762.0,10.0,0.0,0.0,0.29
1757418026.706289,8774.0,10.0,0.0,0.0,0.29
1757418026.712383,8787.0,10.0,0.0,0.0,0.29
1757418026.732089,8801.0,10.0,0.0,0.0,0.29
1757418026.743999,8813.0,10.0,0.0,0.0,0.29
1757418026.743999,8826.0,10.0,0.0,0.0,0.29
1757418026.7715886,8839.0,10.0,0.0,0.0,0.29
1757418026.777094,8852.0,10.0,0.0,0.0,0.29
1757418026.7980318,8864.0,10.0,0.0,0.0,0.29
1757418026.809206,8878.0,10.0,0.0,0.0,0.29
1757418026.8103817,8890.0,10.0,0.0,0.0,0.29
1757418026.8342702,8903.0,10.0,0.0,0.0,0.29
1757418026.8449402,8915.0,10.0,0.0,0.0,0.39
1757418026.860317,8929.0,10.0,0.0,0.0,0.39
1757418026.8739283,8941.0,10.0,0.0,0.0,0.39
1757418026.8739283,8954.0,10.0,0.0,0.0,0.39
1757418026.8897934,8967.0,10.0,0.0,0.0,0.39
1757418026.9124382,8980.0,10.0,0.0,0.0,0.29
1757418026.9246042,8993.0,10.0,0.0,0.0,0.29
1757418026.9329383,9006.0,10.0,0.0,0.0,0.29
1757418026.9444504,9019.0,10.0,0.0,0.0,0.29
1757418026.9631064,9031.0,10.0,0.0,0.0,0.29
1757418026.9773855,9044.0,10.0,0.0,0.0,0.39
1757418026.987181,9057.0,10.0,0.0,0.0,0.39
1757418027.0021358,9070.0,10.0,0.0,0.0,0.39
1757418027.0134459,9082.0,10.0,0.0,0.0,0.39
1757418027.0165417,9096.0,10.0,0.0,0.0,0.39
1757418027.039038,9108.0,10.0,0.0,0.0,0.39
1757418027.0473726,9121.0,10.0,0.0,0.0,0.39
1757418027.0679767,9134.0,10.0,0.0,0.0,0.39
