system_time,time,pos,curr
1751554280.8102279,8253.0,0.0,0.39
1751554280.8291621,8263.0,0.0,0.39
1751554280.8414743,8273.0,0.0,0.39
1751554280.8414743,8283.0,0.0,0.39
1751554280.8564496,8293.0,0.0,0.39
1751554280.8685381,8303.0,0.0,0.39
1751554280.875323,8313.0,0.0,0.39
1751554280.888853,8324.0,0.0,0.39
1751554280.9017258,8334.0,0.0,0.39
1751554280.9017258,8344.0,0.0,0.39
1751554280.919855,8354.0,0.0,0.39
1751554280.9290366,8365.0,0.0,0.39
1751554280.9354475,8375.0,0.0,0.39
1751554280.9515333,8385.0,0.0,0.39
1751554280.9515333,8395.0,0.0,0.39
1751554280.9710848,8406.0,0.0,0.39
1751554280.983962,8416.0,0.0,0.39
1751554280.9849718,8426.0,0.0,0.39
1751554281.0015132,8436.0,0.0,0.39
1751554281.0118785,8446.0,0.0,0.39
1751554281.0201917,8457.0,0.0,0.39
1751554281.0339527,8467.0,0.0,0.39
1751554281.0350955,8477.0,0.0,0.39
1751554281.0521636,8487.0,0.0,0.39
1751554281.0521636,8498.0,0.0,0.39
1751554281.075272,8507.0,0.0,0.39
1751554281.084316,8517.0,0.0,0.39
1751554281.0870395,8527.0,0.0,0.39
1751554281.104257,8538.0,0.0,0.39
1751554281.1163957,8548.0,0.0,0.39
1751554281.120529,8558.0,0.0,0.39
1751554281.1364694,8568.0,0.0,0.39
1751554281.142491,8579.0,0.0,0.39
1751554281.1567662,8589.0,0.0,0.39
1751554281.1631734,8599.0,0.0,0.39
1751554281.1751657,8609.0,0.0,0.39
1751554281.185695,8620.0,0.0,0.39
1751554281.1968827,8630.0,0.0,0.39
1751554281.2066996,8640.0,0.0,0.39
1751554281.2185628,8650.0,0.0,0.39
1751554281.2255726,8660.0,0.0,0.39
1751554281.2391858,8671.0,0.0,0.39
1751554281.2443793,8681.0,0.0,0.39
1751554281.2588077,8691.0,0.0,0.39
1751554281.2669106,8701.0,0.0,0.39
1751554281.2754402,8712.0,0.0,0.39
1751554281.28774,8722.0,0.0,0.39
1751554281.2975447,8731.0,0.0,0.39
1751554281.3074913,8741.0,0.0,0.39
1751554281.3206131,8752.0,0.0,0.39
1751554281.328973,8762.0,0.0,0.39
1751554281.341044,8772.0,0.0,0.39
1751554281.348052,8782.0,0.0,0.39
1751554281.3617902,8793.0,0.0,0.39
1751554281.3701231,8803.0,0.0,0.39
1751554281.3759086,8813.0,0.0,0.39
1751554281.3896804,8823.0,0.0,0.39
1751554281.4023266,8834.0,0.0,0.39
1751554281.4023266,8844.0,0.0,0.39
1751554281.4221807,8854.0,0.0,0.39
1751554281.430812,8864.0,0.0,0.39
1751554281.4383783,8875.0,0.0,0.39
1751554281.4532297,8885.0,0.0,0.39
1751554281.4640343,8895.0,0.0,0.39
1751554281.4717321,8905.0,0.0,0.39
1751554281.4803374,8915.0,0.0,0.39
1751554281.4876134,8926.0,0.0,0.39
1751554281.5017269,8936.0,0.0,0.39
1751554281.503703,8946.0,0.0,0.39
1751554281.5212307,8955.0,0.0,0.39
1751554281.5341694,8966.0,0.0,0.39
1751554281.5418177,8976.0,0.0,0.39
1751554281.5532413,8986.0,0.0,0.39
1751554281.5604339,8996.0,0.0,0.39
1751554281.5754414,9007.0,0.0,0.39
1751554281.5823805,9017.0,0.0,0.39
1751554281.5906715,9027.0,0.0,0.39
1751554281.6030347,9037.0,0.0,0.39
1751554281.606275,9048.0,0.0,0.39
1751554281.6244009,9058.0,0.0,0.39
1751554281.6366668,9068.0,0.0,0.39
1751554281.642013,9078.0,0.0,0.39
1751554281.6534636,9089.0,0.0,0.39
1751554281.664023,9099.0,0.0,0.39
1751554281.674487,9109.0,0.0,0.39
1751554281.6853893,9119.0,0.0,0.39
1751554281.6983056,9129.0,0.0,0.39
1751554281.705683,9140.0,0.0,0.39
1751554281.717728,9150.0,0.0,0.39
1751554281.726735,9160.0,0.0,0.39
1751554281.7390652,9170.0,0.0,0.39
1751554281.7419205,9180.0,0.0,0.39
1751554281.7593856,9190.0,0.0,0.39
1751554281.7673705,9200.0,0.0,0.39
1751554281.7797928,9210.0,0.0,0.39
1751554281.787634,9221.0,0.0,0.39
1751554281.8000026,9231.0,0.0,0.39
1751554281.8084068,9241.0,0.0,0.39
1751554281.8200254,9251.0,0.0,0.39
1751554281.8284004,9262.0,0.0,0.39
1751554281.8407414,9272.0,0.0,0.39
1751554281.8491764,9282.0,0.0,0.39
1751554281.8616796,9292.0,0.0,0.39
1751554281.869737,9303.0,0.0,0.39
1751554281.8818812,9313.0,0.0,0.39
1751554281.888561,9323.0,0.0,0.39
1751554281.9018047,9333.0,0.0,0.39
1751554281.9029357,9344.0,0.0,0.39
1751554281.9188797,9354.0,0.0,0.39
1751554281.9298332,9364.0,0.0,0.39
1751554281.9367466,9374.0,0.0,0.39
1751554281.9517934,9384.0,0.0,0.39
1751554281.9590154,9395.0,0.0,0.39
1751554281.9728806,9404.0,0.0,0.39
1751554281.979815,9414.0,0.0,0.39
1751554281.9872615,9424.0,0.0,0.39
1751554282.0014327,9435.0,0.0,0.39
1751554282.0099342,9445.0,1.0,0.39
1751554282.0206432,9455.0,5.0,252.25
1751554282.0332072,9465.0,12.0,252.25
1751554282.0351284,9476.0,23.0,252.25
1751554282.0522363,9487.0,38.0,252.25
1751554282.0648608,9497.0,55.0,252.25
1751554282.0696387,9507.0,76.0,252.25
1751554282.0867786,9518.0,100.0,715.04
1751554282.0957248,9528.0,126.0,715.04
1751554282.105696,9538.0,156.0,715.04
1751554282.1084082,9548.0,188.0,715.04
1751554282.1278028,9560.0,223.0,715.04
1751554282.135173,9570.0,261.0,715.04
1751554282.1450088,9580.0,300.0,715.04
1751554282.1563349,9590.0,342.0,666.8
1751554282.1689482,9601.0,387.0,666.8
1751554282.1807728,9611.0,434.0,666.8
1751554282.1883898,9622.0,482.0,666.8
1751554282.2007701,9632.0,532.0,666.8
1751554282.2074807,9643.0,585.0,666.8
1751554282.2222807,9653.0,639.0,615.53
1751554282.2282484,9663.0,694.0,615.53
1751554282.2375493,9673.0,751.0,615.53
1751554282.2517505,9684.0,810.0,615.53
1751554282.2592807,9695.0,870.0,615.53
1751554282.270895,9705.0,931.0,615.53
1751554282.2843451,9715.0,994.0,569.43
1751554282.2922587,9725.0,1057.0,569.43
1751554282.302626,9737.0,1122.0,569.43
1751554282.3164937,9747.0,1189.0,569.43
1751554282.3238783,9757.0,1256.0,569.43
1751554282.33741,9768.0,1323.0,569.43
1751554282.33741,9779.0,1392.0,526.56
1751554282.3580217,9789.0,1462.0,526.56
1751554282.364969,9799.0,1532.0,526.56
1751554282.3770363,9810.0,1603.0,526.56
1751554282.389757,9821.0,1675.0,526.56
1751554282.397067,9831.0,1747.0,526.56
1751554282.4107096,9841.0,1820.0,509.28
1751554282.4193568,9852.0,1893.0,509.28
1751554282.4307587,9863.0,1968.0,509.28
1751554282.438467,9873.0,2042.0,509.28
1751554282.4508913,9883.0,2117.0,509.28
1751554282.4630487,9894.0,2193.0,509.28
1751554282.4717581,9905.0,2269.0,479.2
1751554282.4842913,9915.0,2345.0,479.2
1751554282.493523,9925.0,2422.0,479.2
1751554282.5056348,9936.0,2500.0,479.2
1751554282.5086222,9947.0,2577.0,479.2
1751554282.5247822,9957.0,2655.0,479.2
1751554282.537089,9968.0,2733.0,475.88
1751554282.5405138,9978.0,2812.0,475.88
1751554282.5564578,9989.0,2890.0,475.88
1751554282.5642254,9999.0,2969.0,475.88
1751554282.5737917,10010.0,3049.0,475.88
1751554282.5875998,10020.0,3129.0,475.88
1751554282.5948026,10031.0,3208.0,451.86
1751554282.606054,10042.0,3289.0,451.86
1751554282.6187437,10052.0,3369.0,451.86
1751554282.6268394,10062.0,3450.0,451.86
1751554282.639092,10074.0,3531.0,451.86
1751554282.652634,10084.0,3612.0,451.86
1751554282.652634,10094.0,3693.0,465.04
1751554282.6693723,10105.0,3774.0,465.04
1751554282.6850739,10116.0,3856.0,465.04
1751554282.6874733,10126.0,3938.0,465.04
1751554282.7028713,10137.0,4020.0,465.04
1751554282.7124639,10147.0,4102.0,465.04
1751554282.726249,10158.0,4183.0,465.04
1751554282.7379153,10168.0,4266.0,443.46
1751554282.7423887,10179.0,4348.0,443.46
1751554282.7544823,10189.0,4430.0,443.46
1751554282.7654946,10200.0,4513.0,443.46
1751554282.7788305,10211.0,4595.0,443.46
1751554282.787154,10221.0,4678.0,443.46
1751554282.7915163,10231.0,4760.0,440.04
1751554282.8121617,10243.0,4843.0,440.04
1751554282.8208814,10253.0,4926.0,440.04
1751554282.8288383,10263.0,5008.0,440.04
1751554282.8412795,10274.0,5092.0,440.04
1751554282.8530781,10285.0,5174.0,440.04
1751554282.8649352,10295.0,5257.0,438.18
1751554282.870048,10306.0,5341.0,438.18
1751554282.8859882,10316.0,5424.0,438.18
1751554282.8934703,10327.0,5507.0,438.18
1751554282.9023466,10338.0,5590.0,438.18
1751554282.9118686,10348.0,5673.0,438.18
1751554282.9248512,10358.0,5756.0,434.67
1751554282.9389746,10370.0,5840.0,434.67
1751554282.9401464,10380.0,5923.0,434.67
1751554282.9582396,10390.0,6006.0,434.67
1751554282.968526,10401.0,6090.0,434.67
1751554282.980697,10412.0,6173.0,434.67
1751554282.9918664,10422.0,6257.0,437.11
1751554283.0002406,10433.0,6341.0,437.11
1751554283.0078468,10443.0,6424.0,437.11
1751554283.0206144,10454.0,6508.0,437.11
1751554283.0330665,10465.0,6592.0,437.11
1751554283.0412083,10475.0,6676.0,437.11
1751554283.053476,10485.0,6760.0,429.98
1751554283.053476,10497.0,6844.0,429.98
1751554283.0722663,10507.0,6927.0,429.98
1751554283.0866585,10517.0,7012.0,429.98
1751554283.0866585,10528.0,7096.0,429.98
1751554283.105515,10539.0,7180.0,429.98
1751554283.1186168,10549.0,7264.0,438.77
1751554283.1270466,10560.0,7348.0,438.77
1751554283.135951,10570.0,7432.0,438.77
1751554283.1473162,10580.0,7516.0,438.77
1751554283.1591492,10592.0,7600.0,438.77
1751554283.1676795,10602.0,7684.0,438.77
1751554283.1811974,10612.0,7768.0,429.69
1751554283.1872633,10624.0,7853.0,429.69
1751554283.2018707,10634.0,7937.0,429.69
1751554283.212945,10644.0,8021.0,429.69
1751554283.2208374,10655.0,8105.0,429.69
1751554283.2342215,10665.0,8188.0,429.69
1751554283.23629,10676.0,8273.0,437.99
1751554283.2537506,10687.0,8357.0,437.99
1751554283.2666135,10697.0,8440.0,437.99
1751554283.274968,10707.0,8524.0,437.99
1751554283.2867959,10719.0,8608.0,437.99
1751554283.2959216,10729.0,8691.0,437.99
1751554283.3078122,10739.0,8775.0,431.54
1751554283.3196554,10750.0,8858.0,431.54
1751554283.325749,10761.0,8942.0,431.54
1751554283.3406005,10771.0,9025.0,431.54
1751554283.342623,10782.0,9108.0,431.54
1751554283.3605926,10792.0,9192.0,431.54
1751554283.3729713,10803.0,9275.0,440.33
1751554283.3750367,10814.0,9358.0,440.33
1751554283.389271,10824.0,9441.0,440.33
1751554283.401889,10834.0,9524.0,440.33
1751554283.4053211,10846.0,9607.0,440.33
1751554283.4225616,10856.0,9690.0,440.33
1751554283.4357924,10866.0,9773.0,435.25
1751554283.4375772,10877.0,9856.0,435.25
1751554283.454911,10888.0,9938.0,435.25
1751554283.4674213,10898.0,10021.0,435.25
1751554283.4707565,10909.0,10104.0,435.25
1751554283.488249,10919.0,10187.0,435.25
1751554283.4930952,10931.0,10270.0,441.5
1751554283.5091383,10941.0,10353.0,441.5
1751554283.5185392,10951.0,10435.0,441.5
1751554283.522145,10962.0,10518.0,441.5
1751554283.5371175,10973.0,10601.0,441.5
1751554283.5519512,10983.0,10683.0,441.5
1751554283.554937,10994.0,10765.0,440.33
1751554283.5707498,11004.0,10848.0,440.33
1751554283.5814867,11016.0,10930.0,440.33
1751554283.5939925,11026.0,11012.0,440.33
1751554283.6062152,11036.0,11094.0,440.33
1751554283.613579,11047.0,11176.0,440.33
1751554283.623242,11058.0,11258.0,442.38
1751554283.635265,11069.0,11340.0,442.38
1751554283.636408,11079.0,11422.0,442.38
1751554283.6597328,11089.0,11504.0,442.38
1751554283.6684897,11101.0,11586.0,442.38
1751554283.6757147,11111.0,11667.0,442.38
1751554283.6871862,11122.0,11749.0,452.93
1751554283.7008834,11132.0,11831.0,452.93
1751554283.7096536,11143.0,11913.0,452.93
1751554283.7208,11154.0,11995.0,452.93
1751554283.7342594,11164.0,12076.0,452.93
1751554283.739832,11175.0,12158.0,452.93
1751554283.7545266,11186.0,12240.0,438.38
1751554283.7659473,11196.0,12321.0,438.38
1751554283.7727032,11207.0,12403.0,438.38
1751554283.7874932,11217.0,12484.0,438.38
1751554283.7956772,11229.0,12565.0,438.38
1751554283.8069031,11239.0,12646.0,438.38
1751554283.818885,11249.0,12728.0,450.68
1751554283.8276236,11260.0,12808.0,450.68
1751554283.83682,11271.0,12889.0,450.68
1751554283.848467,11281.0,12970.0,450.68
1751554283.8582342,11292.0,13052.0,450.68
1751554283.8702939,11302.0,13132.0,450.68
1751554283.8783257,11314.0,13214.0,450.68
1751554283.8919094,11324.0,13295.0,443.07
1751554283.901163,11334.0,13376.0,443.07
1751554283.908542,11345.0,13458.0,443.07
1751554283.9234037,11356.0,13539.0,443.07
