system_time,time,pos,curr
1750419411.22847,1.0,0.0,0.39
1750419411.230009,2.0,0.0,0.39
1750419411.2304885,24.0,0.0,0.39
1750419411.2304885,60.0,0.0,0.39
1750419411.2316828,96.0,0.0,0.39
1750419411.2316828,131.0,0.0,0.39
1750419411.2316828,167.0,0.0,0.39
1750419411.2327278,203.0,0.0,0.39
1750419411.2332294,240.0,0.0,0.39
1750419411.2332294,276.0,0.0,0.39
1750419411.2342715,313.0,0.0,0.39
1750419411.2342715,349.0,0.0,0.39
1750419411.2352822,386.0,0.0,0.39
1750419411.2357545,421.0,0.0,0.39
1750419411.2357545,458.0,0.0,0.39
1750419411.2357545,495.0,0.0,0.39
1750419411.236775,531.0,0.0,0.39
1750419411.236775,568.0,0.0,0.39
1750419411.2377782,604.0,0.0,0.39
1750419411.2377782,641.0,0.0,0.39
1750419411.2387805,676.0,0.0,0.39
1750419411.2387805,713.0,0.0,0.39
1750419411.239796,749.0,0.0,0.39
1750419411.239796,786.0,0.0,0.39
1750419411.239796,822.0,0.0,0.39
1750419411.240853,859.0,0.0,0.39
1750419411.240853,896.0,0.0,0.39
1750419411.2418633,931.0,0.0,0.39
1750419411.2418633,968.0,0.0,0.39
1750419411.2418633,1004.0,0.0,0.39
1750419411.2429116,1042.0,0.0,0.39
1750419411.2429116,1079.0,0.0,0.39
1750419411.2439127,1117.0,0.0,0.39
1750419411.2439127,1154.0,0.0,0.39
1750419411.2449188,1191.0,0.0,0.39
1750419411.2449188,1229.0,0.0,0.39
1750419411.2459197,1266.0,0.0,0.39
1750419411.2459197,1304.0,0.0,0.39
1750419411.2469285,1341.0,0.0,0.39
1750419411.2473123,1379.0,0.0,0.39
1750419411.2476997,1416.0,0.0,0.39
1750419411.2480197,1454.0,0.0,0.39
1750419411.2480197,1491.0,0.0,0.39
1750419411.2480197,1528.0,0.0,0.39
1750419411.2480197,1566.0,0.0,0.39
1750419411.2480197,1603.0,0.0,0.39
1750419411.2480197,1641.0,0.0,0.39
1750419411.2480197,1678.0,0.0,0.39
1750419411.2480197,1716.0,0.0,0.39
1750419411.2480197,1753.0,0.0,0.39
1750419411.2480197,1790.0,0.0,0.39
1750419411.2480197,1828.0,0.0,0.39
1750419411.2534683,1865.0,0.0,0.39
1750419411.2534683,1903.0,0.0,0.39
1750419411.2544842,1940.0,0.0,0.39
1750419411.2544842,1978.0,0.0,0.39
1750419411.2554896,2015.0,0.0,0.39
1750419411.2554896,2053.0,0.0,0.39
1750419411.2554896,2091.0,0.0,0.39
1750419411.2565207,2127.0,0.0,0.39
1750419411.2565207,2165.0,0.0,0.39
1750419411.2576542,2202.0,0.0,0.39
1750419411.2576542,2240.0,0.0,0.39
1750419411.2581415,2277.0,0.0,0.39
1750419411.2581415,2315.0,0.0,0.39
1750419411.2593896,2352.0,0.0,0.39
1750419411.2593896,2390.0,0.0,0.39
1750419411.2593896,2427.0,0.0,0.39
1750419411.2593896,2464.0,0.0,0.39
1750419411.2593896,2502.0,0.0,0.39
1750419411.2593896,2539.0,0.0,0.39
1750419411.2593896,2577.0,0.0,0.39
1750419411.2593896,2614.0,0.0,0.39
1750419411.2593896,2652.0,0.0,0.39
1750419411.2631881,2690.0,0.0,0.39
1750419411.2636914,2726.0,0.0,0.39
1750419411.2636914,2764.0,0.0,0.39
1750419411.264673,2801.0,0.0,0.39
1750419411.264673,2839.0,0.0,0.39
1750419411.264673,2876.0,0.0,0.39
1750419411.2658868,2914.0,0.0,0.39
1750419411.2658868,2951.0,0.0,0.39
1750419411.2669055,2989.0,0.0,0.39
1750419411.2669055,3026.0,0.0,0.39
1750419411.2669055,3063.0,0.0,0.39
1750419411.2679174,3101.0,0.0,0.39
1750419411.2679174,3138.0,0.0,0.39
1750419411.2679174,3176.0,0.0,0.39
1750419411.2679174,3213.0,0.0,0.39
1750419411.2679174,3251.0,0.0,0.39
1750419411.2679174,3289.0,0.0,0.39
1750419411.2679174,3325.0,0.0,0.39
1750419411.2679174,3363.0,0.0,0.39
1750419411.2679174,3400.0,0.0,0.39
1750419411.2679174,3438.0,0.0,0.39
1750419411.2679174,3475.0,0.0,0.39
1750419411.2679174,3513.0,0.0,0.39
1750419411.2679174,3550.0,0.0,0.39
1750419411.2732553,3588.0,0.0,0.39
1750419411.2732553,3625.0,0.0,0.39
1750419411.2732553,3662.0,0.0,0.39
1750419411.2744443,3700.0,0.0,0.39
1750419411.2744443,3737.0,0.0,0.39
1750419411.2754483,3775.0,0.0,0.39
1750419411.2757602,3812.0,0.0,0.39
1750419411.2757602,3850.0,0.0,0.39
1750419411.2767587,3888.0,0.0,0.39
1750419411.2767587,3924.0,0.0,0.39
1750419411.2767587,3962.0,0.0,0.39
1750419411.2777627,3999.0,0.0,0.39
1750419411.2781818,4037.0,0.0,0.39
1750419411.314877,4074.0,0.0,0.39
1750419411.3545575,4112.0,0.0,0.39
1750419411.3819594,4149.0,0.0,0.39
1750419411.4296973,4187.0,0.0,0.39
1750419411.4668386,4225.0,0.0,0.39
1750419411.5035892,4261.0,0.0,0.39
1750419411.5349026,4299.0,0.0,0.39
1750419411.5812356,4336.0,0.0,0.39
1750419411.6166797,4374.0,0.0,0.39
1750419411.653618,4411.0,0.0,0.39
1750419411.6902533,4449.0,0.0,0.39
1750419411.7172482,4487.0,0.0,0.39
1750419411.7651303,4524.0,0.0,0.39
1750419411.8027258,4561.0,0.0,0.39
1750419411.839499,4598.0,0.0,0.39
1750419411.8802168,4636.0,0.0,0.39
1750419411.9173167,4673.0,0.0,0.39
1750419411.9541223,4711.0,0.0,0.39
1750419411.9844863,4748.0,0.0,0.39
1750419412.016979,4786.0,0.0,0.39
1750419412.0644276,4824.0,0.0,0.39
1750419412.1020565,4860.0,0.0,0.39
1750419412.1419923,4898.0,0.0,0.39
1750419412.177797,4935.0,0.0,0.39
1750419412.2158978,4973.0,0.0,0.39
1750419412.2523437,5010.0,0.0,0.39
1750419412.285325,5048.0,0.0,0.39
1750419412.3248076,5086.0,0.0,0.39
1750419412.3676786,5123.0,0.0,0.39
1750419412.4043295,5160.0,0.0,0.39
1750419412.441195,5197.0,0.0,0.39
1750419412.4735348,5235.0,0.0,0.39
1750419412.5145957,5272.0,0.0,0.39
1750419412.5520809,5310.0,0.0,0.39
1750419412.5849714,5347.0,0.0,0.39
1750419412.6299863,5385.0,0.0,0.39
1750419412.665588,5423.0,0.0,0.39
1750419412.703837,5459.0,0.0,0.39
1750419412.7347925,5497.0,0.0,0.39
1750419412.7775145,5534.0,0.0,0.39
1750419412.814104,5572.0,0.0,0.39
1750419412.8512251,5609.0,0.0,0.39
1750419412.8895104,5647.0,0.0,0.39
1750419412.9177277,5685.0,0.0,0.39
1750419412.9660513,5722.0,0.0,0.39
1750419412.9998763,5760.0,0.0,0.39
1750419413.0355587,5796.0,0.0,0.39
1750419413.074384,5834.0,0.0,0.39
1750419413.1058037,5871.0,0.0,0.39
1750419413.1508636,5909.0,0.0,0.39
1750419413.1872644,5946.0,0.0,0.39
1750419413.2190318,5984.0,0.0,0.39
1750419413.264659,6022.0,0.0,0.29
1750419413.3010862,6059.0,0.0,0.39
