system_time,time,pos,curr
1751558358.0256536,8202.0,0.0,0.39
1751558358.0416806,8212.0,0.0,0.39
1751558358.0416806,8222.0,0.0,0.39
1751558358.0615396,8232.0,0.0,0.39
1751558358.0641484,8243.0,0.0,0.39
1751558358.0771358,8253.0,0.0,0.39
1751558358.0912077,8263.0,0.0,0.39
1751558358.0930893,8273.0,0.0,0.39
1751558358.1111906,8283.0,0.0,0.39
1751558358.1231585,8293.0,0.0,0.39
1751558358.1315002,8303.0,0.0,0.39
1751558358.1437392,8313.0,0.0,0.39
1751558358.1458447,8324.0,0.0,0.39
1751558358.161601,8334.0,0.0,0.39
1751558358.1712332,8344.0,0.0,0.39
1751558358.176831,8354.0,0.0,0.39
1751558358.1938505,8365.0,0.0,0.39
1751558358.204806,8375.0,0.0,0.39
1751558358.213252,8385.0,0.0,0.39
1751558358.225432,8395.0,0.0,0.39
1751558358.225432,8406.0,0.0,0.39
1751558358.2420635,8416.0,0.0,0.39
1751558358.2523491,8426.0,0.0,0.39
1751558358.2604487,8436.0,0.0,0.39
1751558358.2753732,8446.0,0.0,0.39
1751558358.2787945,8457.0,0.0,0.39
1751558358.295117,8467.0,0.0,0.39
1751558358.295117,8477.0,0.0,0.39
1751558358.3143096,8487.0,0.0,0.39
1751558358.3256862,8498.0,0.0,0.39
1751558358.3256862,8507.0,0.0,0.39
1751558358.348355,8517.0,0.0,0.39
1751558358.3533945,8527.0,0.0,0.39
1751558358.3634596,8538.0,0.0,0.39
1751558358.3767693,8548.0,0.0,0.39
1751558358.3767693,8558.0,0.0,0.39
1751558358.3978505,8568.0,0.0,0.39
1751558358.4101613,8579.0,0.0,0.39
1751558358.4172106,8589.0,0.0,0.39
1751558358.425503,8599.0,0.0,0.39
1751558358.4370337,8609.0,0.0,0.39
1751558358.4501197,8620.0,0.0,0.39
1751558358.4596956,8630.0,0.0,0.39
1751558358.4653528,8640.0,0.0,0.39
1751558358.478234,8650.0,0.0,0.39
1751558358.489142,8660.0,0.0,0.39
1751558358.50022,8671.0,0.0,0.39
1751558358.508919,8681.0,0.0,0.39
1751558358.5158968,8691.0,0.0,0.39
1751558358.5285368,8701.0,0.0,0.39
1751558358.5418558,8712.0,0.0,0.39
1751558358.5481634,8722.0,0.0,0.39
1751558358.5619915,8731.0,0.0,0.39
1751558358.5698235,8741.0,0.0,0.39
1751558358.5769682,8752.0,0.0,0.39
1751558358.591129,8762.0,0.0,0.39
1751558358.5945923,8772.0,0.0,0.39
1751558358.6102972,8782.0,0.0,0.39
1751558358.6200037,8793.0,0.0,0.39
1751558358.632644,8803.0,0.0,0.39
1751558358.644438,8813.0,0.0,0.39
1751558358.6526995,8823.0,0.0,0.39
1751558358.6650076,8834.0,2.0,0.39
1751558358.6721091,8844.0,6.0,0.39
1751558358.6847506,8854.0,14.0,331.74
1751558358.6925914,8864.0,25.0,331.74
1751558358.6975954,8875.0,41.0,331.74
1751558358.7121656,8885.0,59.0,331.74
1751558358.7257097,8895.0,81.0,331.74
1751558358.7331343,8905.0,106.0,331.74
1751558358.7471645,8916.0,134.0,706.84
1751558358.7579334,8927.0,165.0,706.84
1751558358.7636743,8937.0,199.0,706.84
1751558358.778656,8947.0,236.0,706.84
1751558358.783573,8957.0,275.0,706.84
1751558358.7938402,8969.0,317.0,706.84
1751558358.808914,8979.0,361.0,649.8
1751558358.82,8989.0,407.0,649.8
1751558358.825477,8999.0,455.0,649.8
1751558358.8412542,9010.0,505.0,649.8
1751558358.8446116,9020.0,557.0,649.8
1751558358.860166,9031.0,611.0,649.8
1751558358.860166,9041.0,666.0,603.61
1751558358.8802733,9052.0,723.0,603.61
1751558358.8937294,9062.0,781.0,603.61
1751558358.8937294,9072.0,841.0,603.61
1751558358.9109633,9083.0,902.0,603.61
1751558358.922474,9094.0,964.0,603.61
1751558358.9320152,9104.0,1028.0,551.27
1751558358.9436696,9114.0,1094.0,551.27
1751558358.94449,9124.0,1160.0,551.27
1751558358.9642951,9136.0,1228.0,551.27
1751558358.9760842,9146.0,1297.0,551.27
1751558358.9879665,9156.0,1366.0,551.27
1751558358.9956114,9167.0,1437.0,551.27
1751558359.008022,9178.0,1508.0,513.87
1751558359.0101914,9188.0,1580.0,513.87
1751558359.0266192,9198.0,1654.0,513.87
1751558359.0371964,9209.0,1727.0,513.87
1751558359.0483158,9220.0,1802.0,513.87
1751558359.0617445,9230.0,1877.0,513.87
1751558359.066064,9240.0,1953.0,491.8
1751558359.077853,9251.0,2030.0,491.8
1751558359.0910654,9262.0,2107.0,491.8
1751558359.0991523,9272.0,2185.0,491.8
1751558359.1109736,9283.0,2263.0,491.8
1751558359.1228096,9293.0,2342.0,491.8
1751558359.1307282,9304.0,2421.0,464.16
1751558359.1434495,9314.0,2502.0,464.16
1751558359.1557853,9325.0,2582.0,464.16
1751558359.1641023,9335.0,2663.0,464.16
1751558359.1767375,9346.0,2745.0,464.16
1751558359.1846488,9356.0,2826.0,464.16
1751558359.1973765,9367.0,2909.0,454.59
1751558359.2090049,9377.0,2991.0,454.59
1751558359.217796,9388.0,3074.0,454.59
1751558359.2297878,9399.0,3158.0,454.59
1751558359.2322485,9409.0,3241.0,454.59
1751558359.250512,9419.0,3326.0,454.59
1751558359.2591827,9430.0,3410.0,434.96
1751558359.2616148,9441.0,3495.0,434.96
1751558359.2780025,9451.0,3580.0,434.96
1751558359.2907681,9461.0,3665.0,434.96
1751558359.2941577,9473.0,3751.0,434.96
1751558359.310974,9483.0,3837.0,434.96
1751558359.3246586,9493.0,3923.0,432.32
1751558359.331221,9503.0,4009.0,432.32
1751558359.3445961,9515.0,4096.0,432.32
1751558359.3568268,9525.0,4183.0,432.32
1751558359.3646398,9535.0,4270.0,432.32
1751558359.3759515,9546.0,4357.0,432.32
1751558359.378021,9556.0,4445.0,416.5
1751558359.3947175,9567.0,4533.0,416.5
1751558359.4059389,9577.0,4622.0,416.5
1751558359.40966,9588.0,4710.0,416.5
1751558359.4302108,9598.0,4799.0,416.5
1751558359.4361715,9609.0,4888.0,416.5
1751558359.4506593,9619.0,4977.0,412.4
1751558359.458656,9630.0,5066.0,412.4
1751558359.4651585,9640.0,5156.0,412.4
1751558359.479359,9651.0,5246.0,412.4
1751558359.492269,9662.0,5336.0,412.4
1751558359.4996681,9672.0,5426.0,412.4
1751558359.5107145,9682.0,5517.0,399.41
1751558359.524614,9693.0,5607.0,399.41
1751558359.525986,9704.0,5698.0,399.41
1751558359.543284,9714.0,5789.0,399.41
1751558359.5544004,9724.0,5880.0,399.41
1751558359.5612717,9736.0,5971.0,399.41
1751558359.5769145,9746.0,6062.0,398.34
1751558359.5861793,9756.0,6154.0,398.34
1751558359.5986826,9766.0,6246.0,398.34
1751558359.6056402,9778.0,6337.0,398.34
1751558359.6177688,9788.0,6429.0,398.34
1751558359.6266673,9798.0,6521.0,398.34
1751558359.6313782,9809.0,6613.0,398.34
1751558359.6506333,9820.0,6705.0,392.09
1751558359.659508,9830.0,6797.0,392.09
1751558359.6716099,9840.0,6888.0,392.09
1751558359.6784558,9851.0,6981.0,392.09
1751558359.6921384,9862.0,7073.0,392.09
1751558359.694687,9872.0,7165.0,392.09
1751558359.7138972,9882.0,7257.0,388.96
1751558359.7252986,9893.0,7349.0,388.96
1751558359.7344692,9904.0,7442.0,388.96
1751558359.7434168,9914.0,7534.0,388.96
1751558359.7470183,9925.0,7626.0,388.96
1751558359.7610385,9935.0,7719.0,388.96
1751558359.774532,9946.0,7811.0,389.26
1751558359.787269,9956.0,7903.0,389.26
1751558359.798559,9967.0,7996.0,389.26
1751558359.8016474,9977.0,8088.0,389.26
1751558359.819109,9988.0,8181.0,389.26
1751558359.8277116,9999.0,8273.0,389.26
1751558359.8311265,10009.0,8366.0,387.11
1751558359.8486876,10019.0,8458.0,387.11
1751558359.859804,10031.0,8551.0,387.11
1751558359.8684225,10041.0,8644.0,387.11
1751558359.8787994,10051.0,8737.0,387.11
1751558359.8927577,10062.0,8829.0,387.11
1751558359.897883,10073.0,8922.0,393.75
1751558359.9111392,10083.0,9015.0,393.75
1751558359.9252434,10094.0,9107.0,393.75
1751558359.9338343,10104.0,9200.0,393.75
1751558359.9458385,10115.0,9292.0,393.75
1751558359.9529436,10126.0,9385.0,393.75
1751558359.9611447,10136.0,9477.0,389.16
1751558359.9744902,10146.0,9570.0,389.16
1751558359.9851706,10158.0,9662.0,389.16
1751558359.99442,10168.0,9754.0,389.16
1751558360.0077846,10178.0,9847.0,389.16
1751558360.0201054,10189.0,9939.0,389.16
1751558360.028185,10200.0,10031.0,398.34
1751558360.0414479,10210.0,10124.0,398.34
1751558360.0502744,10221.0,10216.0,398.34
1751558360.0598416,10231.0,10309.0,398.34
1751558360.0683699,10243.0,10402.0,398.34
1751558360.0812237,10253.0,10494.0,398.34
1751558360.0939791,10263.0,10586.0,391.02
1751558360.103089,10274.0,10679.0,391.02
1751558360.1135178,10285.0,10771.0,391.02
1751558360.1273012,10296.0,10863.0,391.02
1751558360.1273012,10306.0,10955.0,391.02
1751558360.143542,10316.0,11047.0,391.02
1751558360.1588929,10328.0,11139.0,398.93
1751558360.1627276,10338.0,11230.0,398.93
1751558360.1795766,10349.0,11322.0,398.93
1751558360.188709,10359.0,11413.0,398.93
1751558360.195187,10370.0,11505.0,398.93
1751558360.2099082,10381.0,11597.0,398.93
1751558360.2208242,10391.0,11689.0,397.17
1751558360.2278836,10402.0,11780.0,397.17
1751558360.2421918,10413.0,11871.0,397.17
1751558360.2531269,10423.0,11963.0,397.17
1751558360.2613876,10434.0,12054.0,397.17
1751558360.2731154,10444.0,12144.0,397.17
1751558360.2842293,10456.0,12235.0,401.46
1751558360.294614,10466.0,12326.0,401.46
1751558360.3079524,10476.0,12416.0,401.46
1751558360.319135,10487.0,12507.0,401.46
1751558360.328362,10498.0,12597.0,401.46
1751558360.3334057,10509.0,12687.0,401.46
1751558360.348532,10519.0,12778.0,402.73
1751558360.360131,10529.0,12868.0,402.73
1751558360.3661876,10541.0,12959.0,402.73
1751558360.3800519,10551.0,13049.0,402.73
1751558360.3936205,10562.0,13139.0,402.73
1751558360.3944435,10572.0,13230.0,402.73
1751558360.412655,10583.0,13321.0,407.71
1751558360.4256792,10594.0,13411.0,407.71
1751558360.432396,10604.0,13501.0,407.71
1751558360.4444463,10615.0,13592.0,407.71
1751558360.4540665,10626.0,13682.0,407.71
1751558360.4594696,10636.0,13773.0,407.71
1751558360.478255,10647.0,13863.0,407.23
1751558360.4850266,10657.0,13954.0,407.23
1751558360.4990106,10669.0,14045.0,407.23
1751558360.5090725,10679.0,14135.0,407.23
1751558360.5153203,10689.0,14225.0,407.23
1751558360.52674,10700.0,14316.0,407.23
1751558360.5415087,10711.0,14407.0,406.54
1751558360.5499938,10722.0,14498.0,406.54
1751558360.5603812,10732.0,14589.0,406.54
1751558360.5733356,10742.0,14680.0,406.54
1751558360.580775,10754.0,14771.0,406.54
1751558360.5945334,10764.0,14862.0,406.54
1751558360.6053355,10775.0,14953.0,403.42
1751558360.6099257,10785.0,15044.0,403.42
1751558360.6271243,10796.0,15135.0,403.42
1751558360.6367626,10807.0,15227.0,403.42
1751558360.6425188,10817.0,15318.0,403.42
1751558360.657833,10828.0,15409.0,403.42
1751558360.6662595,10839.0,15501.0,399.8
1751558360.6793613,10849.0,15592.0,399.8
1751558360.6910398,10860.0,15683.0,399.8
1751558360.692151,10870.0,15775.0,399.8
1751558360.709007,10882.0,15866.0,399.8
1751558360.7193763,10892.0,15957.0,399.8
1751558360.7319922,10902.0,16049.0,398.83
1751558360.7455614,10913.0,16140.0,398.83
1751558360.7533402,10924.0,16231.0,398.83
1751558360.7660022,10935.0,16322.0,398.83
1751558360.7730548,10945.0,16413.0,398.83
1751558360.7851527,10955.0,16504.0,398.83
1751558360.7975307,10967.0,16595.0,397.17
1751558360.7975307,10977.0,16686.0,397.17
1751558360.8165212,10988.0,16777.0,397.17
1751558360.8277407,10998.0,16867.0,397.17
1751558360.8277407,11009.0,16959.0,397.17
1751558360.85132,11020.0,17049.0,397.17
1751558360.8587687,11030.0,17140.0,405.96
1751558360.8587687,11041.0,17231.0,405.96
1751558360.8811743,11052.0,17321.0,405.96
1751558360.892297,11062.0,17411.0,405.96
1751558360.8931515,11073.0,17502.0,405.96
1751558360.9126294,11083.0,17592.0,405.96
1751558360.9257765,11095.0,17683.0,404.59
1751558360.9272215,11105.0,17773.0,404.59
1751558360.9445455,11115.0,17863.0,404.59
1751558360.9580107,11126.0,17953.0,404.59
1751558360.9611738,11137.0,18043.0,404.59
1751558360.97552,11148.0,18133.0,404.59
1751558360.9868288,11158.0,18223.0,408.98
1751558360.9973845,11168.0,18313.0,408.98
1751558361.0102203,11180.0,18403.0,408.98
1751558361.019603,11190.0,18492.0,408.98
1751558361.0321484,11201.0,18582.0,408.98
1751558361.035417,11211.0,18672.0,408.98
1751558361.051837,11222.0,18762.0,404.1
1751558361.0639431,11233.0,18851.0,404.1
1751558361.0714471,11243.0,18941.0,404.1
1751558361.086157,11254.0,19031.0,404.1
1751558361.093006,11265.0,19121.0,404.1
1751558361.0968692,11275.0,19211.0,404.1
1751558361.1166945,11286.0,19301.0,404.1
1751558361.1258764,11296.0,19391.0,413.48
1751558361.1313078,11308.0,19481.0,413.48
1751558361.146608,11318.0,19571.0,413.48
1751558361.1591341,11328.0,19661.0,413.48
1751558361.167516,11339.0,19750.0,413.48
1751558361.1793213,11350.0,19840.0,413.48
1751558361.1914284,11361.0,19930.0,403.81
1751558361.1988251,11371.0,20020.0,403.81
1751558361.2131584,11381.0,20110.0,403.81
1751558361.2131584,11393.0,20200.0,403.81
1751558361.2312524,11403.0,20290.0,403.81
1751558361.2446856,11414.0,20380.0,403.81
1751558361.252688,11424.0,20470.0,415.43
1751558361.2654767,11435.0,20560.0,415.43
1751558361.277038,11446.0,20650.0,415.43
1751558361.282155,11456.0,20741.0,415.43
1751558361.2936215,11467.0,20831.0,415.43
1751558361.3072243,11478.0,20921.0,415.43
1751558361.3110669,11488.0,21012.0,406.25
1751558361.3264692,11499.0,21102.0,406.25
1751558361.3374672,11509.0,21192.0,406.25
1751558361.345002,11521.0,21283.0,406.25
1751558361.3601563,11531.0,21374.0,406.25
1751558361.3692741,11541.0,21465.0,406.25
1751558361.3839085,11552.0,21555.0,410.64
1751558361.392335,11563.0,21646.0,410.64
1751558361.404272,11574.0,21737.0,410.64
1751558361.411382,11584.0,21828.0,410.64
1751558361.4259577,11594.0,21919.0,410.64
1751558361.4305732,11606.0,22011.0,410.64
1751558361.443252,11616.0,22102.0,403.71
1751558361.4590218,11627.0,22194.0,403.71
1751558361.4658585,11637.0,22285.0,403.71
1751558361.4777696,11648.0,22377.0,403.71
1751558361.4901562,11659.0,22469.0,403.71
1751558361.4940543,11669.0,22561.0,403.71
1751558361.5112586,11680.0,22653.0,405.57
1751558361.5191154,11691.0,22744.0,405.57
1751558361.5316935,11702.0,22837.0,405.57
1751558361.5445457,11712.0,22929.0,405.57
1751558361.552767,11722.0,23021.0,405.57
1751558361.5640402,11734.0,23113.0,405.57
1751558361.5662167,11744.0,23205.0,397.66
1751558361.5853736,11755.0,23297.0,397.66
1751558361.5973635,11765.0,23389.0,397.66
1751558361.5992143,11776.0,23481.0,397.66
1751558361.618029,11787.0,23573.0,397.66
1751558361.6257908,11797.0,23666.0,397.66
1751558361.6325579,11808.0,23758.0,402.73
1751558361.6455545,11819.0,23850.0,402.73
1751558361.6588652,11829.0,23943.0,402.73
1751558361.662737,11840.0,24035.0,402.73
1751558361.681382,11850.0,24128.0,402.73
1751558361.6897254,11862.0,24221.0,402.73
1751558361.69446,11872.0,24313.0,393.75
1751558361.7114258,11882.0,24406.0,393.75
1751558361.7212427,11893.0,24499.0,393.75
1751558361.7322931,11904.0,24593.0,393.75
1751558361.743496,11915.0,24686.0,393.75
1751558361.7557285,11925.0,24779.0,393.75
1751558361.76491,11935.0,24872.0,399.22
1751558361.7777324,11947.0,24965.0,399.22
1751558361.7894115,11957.0,25058.0,399.22
1751558361.7974474,11968.0,25151.0,399.22
1751558361.81022,11978.0,25244.0,399.22
1751558361.8111675,11988.0,25338.0,399.22
1751558361.8304138,12000.0,25432.0,391.89
1751558361.8423629,12010.0,25525.0,391.89
1751558361.8515415,12021.0,25619.0,391.89
1751558361.863797,12032.0,25713.0,391.89
1751558361.8670359,12043.0,25807.0,391.89
1751558361.884951,12053.0,25902.0,391.89
1751558361.8942976,12063.0,25995.0,395.12
1751558361.9028697,12075.0,26089.0,395.12
1751558361.9165802,12085.0,26183.0,395.12
1751558361.9254758,12096.0,26277.0,395.12
1751558361.932011,12106.0,26371.0,395.12
1751558361.9490411,12116.0,26466.0,395.12
1751558361.9573767,12128.0,26559.0,388.67
1751558361.9617596,12138.0,26653.0,388.67
1751558361.9780986,12149.0,26746.0,388.67
1751558361.9855227,12160.0,26839.0,388.67
1751558361.9983585,12170.0,26933.0,388.67
1751558362.0100229,12181.0,27025.0,388.67
1751558362.0159013,12191.0,27118.0,395.41
1751558362.0291233,12203.0,27211.0,395.41
1751558362.043904,12213.0,27303.0,395.41
1751558362.056093,12223.0,27395.0,395.41
1751558362.0601192,12234.0,27486.0,395.41
1751558362.076633,12244.0,27578.0,395.41
1751558362.0848641,12256.0,27669.0,392.97
1751558362.0932848,12266.0,27760.0,392.97
1751558362.109073,12276.0,27851.0,392.97
1751558362.1113782,12288.0,27941.0,392.97
1751558362.1264012,12298.0,28031.0,392.97
1751558362.1379547,12309.0,28120.0,392.97
1751558362.1447496,12319.0,28208.0,357.62
1751558362.162623,12329.0,28294.0,357.62
1751558362.1703284,12341.0,28379.0,357.62
1751558362.1837447,12351.0,28461.0,357.62
1751558362.192273,12362.0,28542.0,357.62
1751558362.1994195,12372.0,28621.0,357.62
1751558362.2158074,12383.0,28698.0,167.68
1751558362.2242427,12394.0,28772.0,167.68
1751558362.231034,12404.0,28843.0,167.68
