system_time,frame_number
1750423905.9205287,1
1750423906.1212828,2
1750423906.1374238,3
1750423906.1709578,4
1750423906.22436,5
1750423906.2507277,6
1750423906.2890003,7
1750423906.3159115,8
1750423906.3526187,9
1750423906.3826177,10
1750423906.4107409,11
1750423906.4381511,12
1750423906.472232,13
1750423906.5099792,14
1750423906.5363717,15
1750423906.5686553,16
1750423906.622234,17
1750423906.653002,18
1750423906.684908,19
1750423906.7214546,20
1750423906.7425828,21
1750423906.7837946,22
1750423906.8158402,23
1750423906.8478303,24
1750423906.878474,25
1750423906.9112651,26
1750423906.9357038,27
1750423906.9695792,28
1750423907.006289,29
1750423907.056442,30
1750423907.0823085,31
1750423907.1190739,32
1750423907.1507723,33
1750423907.1808727,34
1750423907.2147546,35
1750423907.2479806,36
1750423907.2760005,37
1750423907.3122902,38
1750423907.3446884,39
1750423907.3726912,40
1750423907.4029245,41
1750423907.4571247,42
1750423907.4849052,43
1750423907.5122535,44
1750423907.5532374,45
1750423907.5838637,46
1750423907.6155624,47
1750423907.6404696,48
1750423907.6755466,49
1750423907.7107174,50
1750423907.7399979,51
1750423907.769137,52
1750423907.8018622,53
1750423907.850299,54
1750423907.8832605,55
1750423907.9193146,56
1750423907.9481819,57
1750423907.9846027,58
1750423908.0090773,59
1750423908.0444467,60
1750423908.0779014,61
1750423908.1131618,62
1750423908.1361122,63
1750423908.1757734,64
1750423908.2052503,65
1750423908.2495806,66
1750423908.2855759,67
1750423908.3210852,68
1750423908.3451996,69
1750423908.3811374,70
1750423908.4146764,71
1750423908.4443722,72
1750423908.4730058,73
1750423908.5050972,74
1750423908.5372033,75
1750423908.5699706,76
1750423908.6088247,77
1750423908.6348467,78
1750423908.6855893,79
1750423908.7205534,80
1750423908.7421176,81
1750423908.773115,82
1750423908.8158295,83
1750423908.8488395,84
1750423908.8776286,85
1750423908.9135277,86
1750423908.9356186,87
1750423908.9722545,88
1750423909.0012798,89
1750423909.033795,90
1750423909.0826902,91
1750423909.1189938,92
1750423909.149158,93
1750423909.1826372,94
1750423909.2081623,95
1750423909.2486935,96
1750423909.2803566,97
1750423909.3060496,98
1750423909.3442454,99
1750423909.3694196,100
1750423909.407244,101
1750423909.4411492,102
1750423909.4886558,103
1750423909.5117414,104
1750423909.5521183,105
1750423909.578806,106
1750423909.61619,107
1750423909.648696,108
1750423909.6780956,109
1750423909.7111902,110
1750423909.7379663,111
1750423909.7690284,112
1750423909.805792,113
1750423909.8395255,114
1750423909.872151,115
1750423909.9161696,116
1750423909.9524086,117
1750423909.9814587,118
1750423910.0157986,119
1750423910.0479774,120
1750423910.0737932,121
1750423910.1043437,122
1750423910.1441576,123
1750423910.1741557,124
1750423910.2021625,125
1750423910.2379649,126
1750423910.2732968,127
1750423910.3217938,128
1750423910.351336,129
1750423910.3842294,130
1750423910.4078283,131
1750423910.4455273,132
1750423910.4704106,133
1750423910.5056503,134
1750423910.543303,135
1750423910.5698955,136
1750423910.6056986,137
1750423910.637673,138
1750423910.6722288,139
1750423910.7191677,140
1750423910.7442153,141
1750423910.7750387,142
1750423910.8149655,143
1750423910.8428013,144
1750423910.871319,145
1750423910.9063916,146
1750423910.9380002,147
1750423910.9693413,148
1750423911.001148,149
1750423911.0354042,150
1750423911.0695012,151
1750423911.1196942,152
1750423911.143509,153
1750423911.183642,154
1750423911.2155979,155
1750423911.2481446,156
1750423911.2812188,157
1750423911.3129168,158
1750423911.3373954,159
1750423911.3695428,160
1750423911.405958,161
1750423911.4366555,162
1750423911.463582,163
1750423911.498175,164
1750423911.55187,165
1750423911.5837147,166
1750423911.614845,167
1750423911.6387937,168
1750423911.6729887,169
1750423911.7069256,170
1750423911.7444444,171
1750423911.7758174,172
1750423911.8072374,173
1750423911.8405504,174
1750423911.8727427,175
1750423911.9039402,176
1750423911.9519055,177
1750423911.9835885,178
1750423912.0111547,179
1750423912.0387914,180
1750423912.0780456,181
1750423912.1114857,182
1750423912.1379871,183
1750423912.1732914,184
1750423912.2058063,185
1750423912.2373173,186
1750423912.267341,187
1750423912.2989933,188
1750423912.3528082,189
1750423912.376499,190
1750423912.414915,191
1750423912.448993,192
1750423912.4735436,193
1750423912.5110388,194
1750423912.5442894,195
1750423912.5746427,196
1750423912.6070385,197
1750423912.639454,198
1750423912.6687906,199
1750423912.703586,200
1750423912.7459562,201
1750423912.7731783,202
1750423912.8148777,203
1750423912.847865,204
1750423912.8776278,205
1750423912.905545,206
1750423912.937514,207
1750423912.969141,208
1750423913.0076716,209
1750423913.0336576,210
1750423913.0657165,211
1750423913.1021082,212
1750423913.1357875,213
1750423913.1833994,214
1750423913.215988,215
1750423913.2430706,216
1750423913.2803159,217
1750423913.3082466,218
1750423913.3414965,219
1750423913.3686118,220
1750423913.402001,221
1750423913.4388595,222
1750423913.4662812,223
1750423913.4977326,224
1750423913.5352716,225
1750423913.5855114,226
1750423913.615176,227
1750423913.6407988,228
1750423913.6753123,229
1750423913.704643,230
1750423913.7377784,231
1750423913.7739468,232
1750423913.802748,233
1750423913.839593,234
1750423913.8660078,235
1750423913.9025383,236
1750423913.9351187,237
