frame_number,velocity_x,velocity_y
150,-0.008617371,0.019172315
151,0.012427457,-0.046704233
152,0.0026287606,0.019335339
153,0.02577448,0.004951608
154,0.007977925,0.008418066
155,0.00077844417,0.02641798
156,0.03547881,-0.021292852
157,-0.0052379663,0.024518592
158,0.0009293937,-0.01263889
159,-0.0072354428,0.010479073
160,0.00391394,0.0034912475
161,0.0035245628,-0.016553393
162,0.0072460617,0.019510737
163,-0.011050035,0.007171239
164,0.010445986,-0.004039107
165,-0.010744302,0.0046767425
166,0.0013135982,-0.008843895
167,0.0009485649,0.013116839
168,-0.0060683,-0.016746445
169,0.004016717,0.0011521815
170,-0.0059410487,0.0051586744
171,0.006790639,-0.00037016164
172,-0.008580346,0.0074856933
173,0.008883242,0.0003874402
174,0.005724679,-0.0053052744
175,-0.0066046338,0.0077424496
176,-0.015244342,-0.0083803665
177,0.00609419,0.0067983824
178,0.00018851337,-0.00050970947
179,0.0023341512,-0.0041694627
180,-0.0025102575,0.003538019
181,-0.007349196,-0.0030119151
182,0.0045550447,0.006293141
183,0.005170734,0.0058254413
184,-0.004354021,-0.0052443976
185,0.007119855,-0.0013295959
186,-0.007885956,0.0029476061
187,0.0054727006,0.0047484594
188,-0.009037316,0.00166578
189,-0.00027849243,0.001521159
190,-0.0031696123,-0.00073140155
191,-0.0042043887,-0.0054078163
192,0.0032391916,0.00014482488
193,-0.008190697,0.0011127868
194,-0.0017535494,0.0010099318
195,-0.0057122423,0.007012324
196,0.0022302365,-1.32589075e-05
197,-0.0068119257,0.0008562013
198,0.0049725906,0.0019690655
199,-0.0024997753,0.005127676
200,0.002449745,-0.006273481
201,0.0010779018,-0.005381731
202,0.0015808875,5.3794727e-05
203,0.0020102137,0.0011993897
204,0.00018626719,0.0062308903
205,-0.0045117307,-0.0059967805
206,-0.005747058,-0.000115368726
207,0.00020660803,-0.004801302
208,-0.0040869443,0.013045833
209,-0.0042930497,-0.003574049
210,0.01056704,0.0069944193
211,-0.01339513,-0.004318706
212,-0.0014894686,-0.0013464183
213,-0.0025712904,-0.0017545418
214,0.00026898758,-0.00017757698
215,0.00041183704,0.0017809762
216,0.0030614731,0.00086482015
217,-0.004561754,0.010062415
218,-0.0035383585,-0.005541445
219,-0.0007349182,0.0045933467
220,0.0052578268,-0.0033179382
221,-0.007079674,0.0067877164
222,0.0011862643,0.00464023
223,0.005638862,-0.0068735653
224,-0.0023330203,0.006993939
225,-0.005197058,-0.0078003546
226,0.0029380072,0.0001607024
227,-0.0034745317,-0.0013240762
228,-0.007835907,0.007371001
229,0.00590726,0.0019419051
230,0.0030525504,0.0053173313
231,0.0017551731,-0.0069593843
232,-0.00016518982,-0.000843179
233,-0.00039750105,0.0053734784
234,0.0031109634,-0.0026104068
235,-0.00086843845,-0.0015735584
236,-0.005070979,0.0054312786
237,-0.0047959425,-0.0047667827
