frame_number,velocity_x,velocity_y
1,0.0074168555,0.006041301
2,-0.0014920942,0.0014350052
3,-0.005337063,0.0058332244
4,0.005531667,-0.0026308196
5,0.0067483163,-0.005595006
6,-0.0026734027,-0.00080596143
7,0.004539009,-0.00075796916
8,-0.008693052,-0.0005368673
9,0.0011223872,0.006953444
10,-0.0030819236,0.0032837992
11,-0.005016383,-0.008562224
12,0.005270072,0.00051131716
13,0.0023588724,0.0044594766
14,0.0033568419,-0.003661978
15,-0.008163106,-0.0075675035
16,0.004476524,0.0038477816
17,-0.0005702197,-0.0024500259
18,0.0011810934,0.010627566
19,-0.009590522,-0.004309468
20,0.0027404008,-0.0025695295
21,-0.0048316834,0.0055362284
22,0.0068421783,0.0026240353
23,-0.013946079,0.0012911822
24,-0.03017367,0.0053393077
25,-0.044709574,0.029400552
26,0.5960899,0.03549315
27,5.299601,0.14607295
28,5.698839,0.371147
29,1.5077586,0.6525878
30,4.0798526,0.3129727
31,6.6240425,1.2050517
32,6.4425774,0.63424236
33,7.8483195,1.3951945
34,8.883261,1.123291
35,11.172264,-3.1434278
36,11.973316,0.14885277
37,14.198208,-0.7933853
38,11.82712,-1.1313531
39,13.28328,-1.1723516
40,11.724548,-0.6923577
41,12.309825,-0.4711689
42,11.679503,-0.8641784
43,11.567602,-0.46458203
44,11.222292,-0.6914536
45,11.396485,-0.33180055
46,11.449676,-0.72391
47,11.223056,-0.344855
48,13.00295,-0.25493747
49,12.205134,-0.037168868
50,13.056229,-0.4066266
51,12.375569,-0.8399927
52,12.592211,-0.64771855
53,11.820955,-0.3090836
54,11.706653,-0.34695885
55,12.118024,-0.13309407
56,11.630664,-0.84789246
57,11.475264,-0.5888915
58,11.811631,-0.36654058
59,11.788206,-0.4453811
60,11.8063755,-0.15065937
61,12.534726,-0.29962406
62,12.453569,0.21425344
63,12.918182,-0.04690912
64,12.534134,-0.19749668
65,12.974538,0.11038987
66,12.183418,-0.4356929
67,12.611825,-0.18876721
68,12.304667,0.00027117252
69,13.0179,-0.062018085
70,12.594166,-0.4484032
71,13.45494,0.1469701
72,12.647762,-0.39827105
73,13.278628,0.3818574
74,12.442451,-0.11616271
75,12.701552,0.6353833
76,13.11058,-0.31809992
77,12.664941,0.12495323
78,13.099225,-0.15632257
79,12.892077,0.40370703
80,13.059767,-0.35569498
81,9.9769335,0.31869355
82,13.218488,-0.24120751
83,12.709854,-0.28367522
84,13.796734,-0.3007011
85,12.779728,-0.32196987
86,13.59196,-0.65137696
87,12.411585,0.060172893
88,12.799752,-0.8671098
89,12.435815,-0.10484961
90,13.660903,-0.4360271
91,12.2197485,-0.77395815
92,13.169367,-0.38063154
93,12.125672,0.07698893
94,12.832198,-0.6890084
95,10.619893,0.061471354
96,10.726996,2.23991
97,10.310581,0.025226837
98,9.93807,-0.6093188
99,10.022243,-1.3520916
100,9.105668,0.6735059
101,7.9575624,-1.241346
102,7.6453185,-1.2637236
103,6.693882,-0.06084638
104,6.9220576,-0.4514159
105,7.0972824,-0.7127428
106,7.6663327,-1.9812233
107,7.855197,-1.20616
108,7.2122216,-0.095137276
109,8.549038,0.043723278
110,8.848442,-0.11543702
111,8.835692,-0.47349685
112,10.1686535,-0.47205824
113,10.176838,0.28126872
114,11.026562,-0.48078227
115,10.968778,-0.46581933
116,11.279179,0.09520594
117,11.659217,-0.4021206
118,11.075652,-0.15417318
119,12.025672,-0.49531645
120,11.638064,-0.33265147
121,11.872792,-0.41860276
122,11.488528,-0.8650051
123,12.432924,-0.55774075
124,10.567791,-1.4662608
125,11.004102,-1.491847
126,12.527351,-1.815928
127,11.218601,-1.208964
128,12.2252245,-2.924572
129,11.105135,-1.3128297
130,8.147918,-2.5230947
131,7.3764405,-2.3988378
132,5.6055465,1.014149
133,3.430115,-0.74686956
134,1.3535084,0.58736163
135,1.8854072,-4.314632
136,1.5343566,-0.39234906
137,1.3259732,1.652543
138,1.0859088,-0.19195466
139,0.21739723,0.84605116
140,0.017079523,-0.8297888
141,0.6440341,-0.16162342
142,0.3135864,0.0635798
143,-0.47305724,-0.23604895
144,0.33708912,-0.9545904
145,0.18007453,0.3799351
146,-0.02306679,-0.1534489
147,0.018130025,0.0019291572
148,-0.005782087,0.01795138
149,0.018467868,0.017000526
