system_time,time,vt,vFilt,pos,curr
1757421648.9043865,6529.0,10.0,0.0,0.0,0.29
1757421648.9043865,8236.0,10.0,0.0,0.0,0.29
1757421648.9239302,8249.0,10.0,0.0,0.0,0.29
1757421648.9344347,8261.0,10.0,0.0,0.0,0.29
1757421648.9344347,8274.0,10.0,0.0,0.0,0.29
1757421648.96518,8287.0,10.0,0.0,0.0,0.29
1757421648.9774795,8300.0,10.0,0.0,0.0,0.29
1757421648.9837322,8312.0,10.0,0.0,0.0,0.29
1757421649.0023086,8326.0,10.0,0.0,0.0,0.29
1757421649.0142105,8338.0,10.0,0.0,0.0,0.29
1757421649.017401,8351.0,10.0,0.0,0.0,0.29
1757421649.0386026,8364.0,10.0,0.0,0.0,0.29
1757421649.05465,8377.0,10.0,0.0,0.0,0.29
1757421649.0671852,8389.0,10.0,0.0,0.0,0.29
1757421649.0781162,8402.0,10.0,0.0,0.0,0.29
1757421649.0879712,8415.0,10.0,0.0,0.0,0.29
1757421649.1036458,8428.0,10.0,0.0,0.0,0.29
1757421649.114666,8441.0,10.0,0.0,0.0,0.29
1757421649.119492,8454.0,10.0,0.0,0.0,0.29
1757421649.1353226,8467.0,10.0,0.0,0.0,0.29
1757421649.1578107,8479.0,10.0,0.0,0.0,0.29
1757421649.1690824,8493.0,10.0,0.0,0.0,0.29
1757421649.1818273,8505.0,10.0,0.0,0.0,0.29
1757421649.183649,8518.0,10.0,0.0,0.0,0.29
1757421649.1999147,8530.0,10.0,0.0,0.0,0.29
1757421649.2149184,8544.0,10.0,0.0,0.0,0.29
1757421649.2309825,8556.0,10.0,0.0,0.0,0.29
1757421649.2468917,8569.0,10.0,0.0,0.0,0.29
1757421649.2468917,8582.0,10.0,0.0,0.0,0.29
1757421649.2683198,8595.0,10.0,0.0,0.0,0.29
1757421649.2841632,8607.0,10.0,0.0,0.0,0.29
1757421649.2841632,8621.0,10.0,0.0,0.0,0.29
1757421649.3105752,8634.0,10.0,0.0,0.0,0.29
1757421649.3197916,8646.0,10.0,0.0,0.0,0.29
1757421649.3197916,8659.0,10.0,0.0,0.0,0.29
1757421649.3356602,8672.0,10.0,0.0,0.0,0.29
1757421649.3629603,8685.0,10.0,0.0,0.0,0.29
1757421649.3681252,8697.0,10.0,0.0,0.0,0.29
1757421649.3868303,8711.0,10.0,0.0,0.0,0.29
1757421649.3974369,8723.0,10.0,0.0,0.0,0.29
1757421649.400176,8736.0,10.0,0.0,0.0,0.29
1757421649.4214666,8749.0,10.0,0.0,0.0,0.29
1757421649.4371955,8762.0,10.0,0.0,0.0,0.29
1757421649.451748,8774.0,10.0,0.0,0.0,0.29
1757421649.462258,8787.0,10.0,0.0,0.0,0.29
1757421649.4785883,8800.0,10.0,0.0,0.0,0.29
1757421649.4893413,8813.0,10.0,0.0,0.0,0.29
1757421649.501905,8826.0,10.0,0.0,0.0,0.29
1757421649.5141065,8839.0,10.0,0.0,0.0,0.29
1757421649.5304337,8852.0,10.0,0.0,0.0,0.29
1757421649.5426514,8864.0,10.0,0.0,0.0,0.29
1757421649.5547147,8878.0,10.0,0.0,0.0,0.29
1757421649.555867,8890.0,10.0,0.0,0.0,0.29
1757421649.5807078,8903.0,10.0,0.0,0.0,0.29
1757421649.590806,8915.0,10.0,0.0,0.0,0.29
1757421649.6001875,8929.0,10.0,0.0,0.0,0.29
1757421649.6164863,8941.0,10.0,0.0,0.0,0.29
1757421649.6243563,8954.0,10.0,0.0,0.0,0.29
1757421649.644849,8967.0,10.0,0.0,0.0,0.29
1757421649.656017,8980.0,10.0,0.0,0.0,0.29
1757421649.6705937,8992.0,10.0,0.0,0.0,0.29
1757421649.6819372,9006.0,10.0,0.0,0.0,0.29
1757421649.6849432,9019.0,10.0,0.0,0.0,0.29
1757421649.7066083,9031.0,10.0,0.0,0.0,0.29
1757421649.7229486,9044.0,10.0,0.0,0.0,0.29
1757421649.7355566,9057.0,10.0,0.0,0.0,0.29
1757421649.747864,9070.0,10.0,0.0,0.0,0.29
