system_time,frame_number
1757421648.9043865,1
1757421649.2747111,2
1757421649.2825613,3
1757421649.3175993,4
1757421649.364964,5
1757421649.394872,6
1757421649.4188168,7
1757421649.4597642,8
1757421649.491351,9
1757421649.5214953,10
1757421649.553945,11
1757421649.588737,12
1757421649.6164863,13
1757421649.652867,14
1757421649.6819372,15
1757421649.719584,16
1757421649.7498665,17
1757421649.7867439,18
1757421649.8194942,19
1757421649.8624043,20
1757421649.8902907,21
1757421649.9236465,22
1757421649.951519,23
1757421649.9882867,24
1757421650.0210397,25
1757421650.050385,26
1757421650.0844486,27
1757421650.1165955,28
1757421650.1362562,29
1757421650.1998756,30
1757421650.2288766,31
1757421650.250327,32
1757421650.28807,33
1757421650.3190198,34
1757421650.3566492,35
1757421650.3820176,36
1757421650.41938,37
1757421650.4506142,38
1757421650.4837124,39
1757421650.5200827,40
1757421650.5497732,41
1757421650.5881147,42
1757421650.628507,43
1757421650.6588318,44
1757421650.680214,45
1757421650.7250142,46
1757421650.7489934,47
1757421650.7897596,48
1757421650.8214228,49
1757421650.8502297,50
1757421650.8843684,51
1757421650.9044986,52
1757421650.9483342,53
1757421651.0006425,54
1757421651.0221992,55
1757421651.0526733,56
1757421651.0904765,57
1757421651.1158116,58
1757421651.1606138,59
1757421651.1903112,60
1757421651.2232645,61
1757421651.2523491,62
1757421651.2897234,63
1757421651.304636,64
1757421651.3507626,65
1757421651.3802695,66
1757421651.431842,67
1757421651.4600866,68
1757421651.4927216,69
1757421651.5241523,70
1757421651.5520797,71
1757421651.5912733,72
1757421651.6186304,73
1757421651.6513116,74
1757421651.684839,75
1757421651.7174911,76
1757421651.7466621,77
1757421651.7805262,78
1757421651.8327944,79
1757421651.862059,80
1757421651.8804233,81
1757421651.9242177,82
1757421651.954569,83
1757421651.9788196,84
1757421652.0212371,85
1757421652.0439768,86
1757421652.0886152,87
1757421652.114664,88
1757421652.1359656,89
1757421652.1822283,90
1757421652.2188165,91
1757421652.260436,92
1757421652.2923634,93
1757421652.3159254,94
1757421652.3507142,95
1757421652.3909082,96
1757421652.4184983,97
1757421652.452089,98
1757421652.4845016,99
1757421652.5094907,100
1757421652.5505269,101
1757421652.5787852,102
1757421652.6292434,103
1757421652.6589694,104
1757421652.6898665,105
1757421652.7174094,106
1757421652.7588565,107
1757421652.7882316,108
1757421652.8205085,109
1757421652.8532329,110
1757421652.883989,111
1757421652.9125245,112
1757421652.9482446,113
1757421652.980137,114
1757421653.002373,115
1757421653.0510035,116
1757421653.0940785,117
1757421653.1155245,118
1757421653.154311,119
1757421653.188104,120
1757421653.219381,121
1757421653.250076,122
1757421653.2850642,123
1757421653.3151119,124
1757421653.349279,125
1757421653.3802524,126
1757421653.4040952,127
1757421653.4480214,128
1757421653.4941242,129
1757421653.5173643,130
1757421653.5604842,131
1757421653.5875595,132
1757421653.6193533,133
1757421653.6461797,134
1757421653.6868186,135
1757421653.7160854,136
1757421653.7457423,137
1757421653.778823,138
1757421653.8121665,139
1757421653.848068,140
1757421653.8938892,141
1757421653.9243107,142
1757421653.9520435,143
1757421653.9901538,144
1757421654.0201879,145
1757421654.0504317,146
1757421654.0846715,147
1757421654.114926,148
1757421654.146404,149
1757421654.1809964,150
1757421654.2130992,151
1757421654.2441673,152
1757421654.294769,153
1757421654.327911,154
1757421654.3541722,155
1757421654.3911915,156
1757421654.4192548,157
1757421654.442627,158
1757421654.4782963,159
1757421654.5170994,160
1757421654.5501206,161
1757421654.569789,162
1757421654.6155457,163
1757421654.6437972,164
1757421654.6803813,165
1757421654.7285058,166
1757421654.7576196,167
1757421654.7903812,168
1757421654.8217344,169
1757421654.8525872,170
1757421654.882497,171
1757421654.9157722,172
1757421654.9363735,173
1757421654.98254,174
1757421655.0121293,175
1757421655.0464468,176
1757421655.0953631,177
1757421655.11348,178
1757421655.1560876,179
1757421655.1884165,180
1757421655.2165284,181
1757421655.2522511,182
1757421655.2822323,183
1757421655.316844,184
1757421655.3496628,185
1757421655.3807406,186
1757421655.4130063,187
1757421655.4441953,188
1757421655.4813015,189
1757421655.5193114,190
1757421655.5509317,191
1757421655.5904155,192
1757421655.6235976,193
1757421655.6556375,194
1757421655.682991,195
1757421655.7197192,196
1757421655.747278,197
1757421655.7783945,198
1757421655.812452,199
1757421655.8454893,200
1757421655.8703256,201
1757421655.9262166,202
1757421655.945101,203
1757421655.985885,204
1757421656.0232725,205
1757421656.0537415,206
1757421656.0833037,207
1757421656.1133165,208
1757421656.146751,209
1757421656.1805892,210
1757421656.2123575,211
1757421656.2431345,212
1757421656.276657,213
1757421656.3252823,214
1757421656.3439147,215
1757421656.3902366,216
1757421656.4193118,217
1757421656.4518056,218
1757421656.48254,219
1757421656.5191913,220
1757421656.546045,221
1757421656.5810275,222
1757421656.6155674,223
1757421656.6337945,224
1757421656.6787682,225
1757421656.7194448,226
1757421656.75686,227
1757421656.7760248,228
1757421656.819456,229
1757421656.8530667,230
1757421656.882847,231
1757421656.9132597,232
1757421656.9453895,233
1757421656.9782436,234
1757421657.0060189,235
1757421657.0361986,236
1757421657.0783396,237
1757421657.116302,238
1757421657.1542556,239
1757421657.1899772,240
1757421657.2068615,241
1757421657.2544599,242
1757421657.285062,243
1757421657.3160093,244
1757421657.3487263,245
1757421657.381461,246
1757421657.416025,247
1757421657.4472563,248
1757421657.4643593,249
